asset_id	title_zh_cn	title_en	summary_zh_cn	summary_en	type	status	start_date	end_date	gsd_min_m	gsd_max_m	cadence	provider	bands	categories	keywords	bbox	license	source_url
AIRBUS/SPOT_2_4_5/BRAZIL/2007_2009/PAN/V1	SPOT 全色图像 5-10 米，巴西	SPOT Panchromatic Imagery 5-10m, Brazil	此集合包含 2008 年左右巴西的 SPOT 2、4 和 5 卫星的原始全色 (PAN) 波段。全色传感器可提供任务的最高原生空间分辨率，并可在较宽的可见光谱范围内捕获光线（SPOT 2 为 0.51-0.73 微米，SPOT 4 为 0.61-0.68 微米，…	This collection contains the raw panchromatic (PAN) bands from the SPOT 2, 4, and 5 satellites for Brazil circa 2008. The panchromatic sensor provides the highest native spatial resolution of the missions, capturing light across a broad visible spectrum (0.51-0.73 µm for SPOT 2, 0.61-0.68 …	image_collection	ready	2007-01-01	2009-11-26	10.0	10.0		Google/CNES	P	satellite-imagery	brazil, forest-code, google, imagery, satellite-imagery, spot	-74.0, -34.0, -34.0, 6.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/AIRBUS_SPOT_2_4_5_BRAZIL_2007_2009_PAN_V1
AIRBUS/SPOT_2_4_5/BRAZIL/2007_2009/PMS_NC/V1	SPOT 全色锐化伪自然色图像 5-10 米，巴西	SPOT Pansharpened Pseudo Natural Color Imagery 5-10m, Brazil	此集合提供 2008 年左右巴西的 SPOT 2、4 和 5 号卫星高分辨率全色锐化伪自然色图像。如果存在相应的高分辨率全色图像，则将其与多光谱数据融合，以实现增强的空间细节（SPOT 5 为 5 米，SPOT 2/4 为 10 米）。此原始 …	This collection provides high-resolution pansharpened pseudo-natural color SPOT imagery satellites 2, 4, and 5 for Brazil circa 2008. Where a corresponding high-resolution panchromatic image was available, it was fused with multispectral data to achieve enhanced spatial detail (up to 5m for SPOT 5 or 10m …	image_collection	ready	2007-01-01	2009-11-26	10.0	10.0		Google/CNES	R, G, B, cloud_mask	satellite-imagery	brazil, forest-code, google, rgb, satellite-imagery, spot	-74.0, -34.0, -34.0, 6.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/AIRBUS_SPOT_2_4_5_BRAZIL_2007_2009_PMS_NC_V1
ASTER/AST_L1T_003	ASTER L1T 辐射率	ASTER L1T Radiance	注意：由于 ASTER 仪器存在技术问题，2024 年 11 月 28 日至 2025 年 1 月 16 日期间的数据收集存在空白。如需了解详情，请参阅美国地质调查局的公告。先进空间热发射和反射辐射计 (ASTER) 是一款多光谱成像仪，搭载在美国宇航局的 …	Note: There is a gap in data collection between November 28, 2024 and January 16, 2025 due to technical issues with the ASTER instrument. See the USGS announcement for more information. The Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) is a multispectral imager that …	image_collection	ready	2000-03-04	2025-12-08	15.0	90.0	16 day revisit_interval	NASA LP DAAC at the USGS EROS Center	B01, B02, B3N, B04, B05, B06, B07, B08, B09, B10, B11, B12, B13, B14	satellite-imagery	aster, eos, imagery, nasa, nir, radiance, satellite-imagery, swir, terra, thermal, tir, toa, usgs, vnir	-180.0, -90.0, 180.0, 90.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/ASTER_AST_L1T_003
AU/GA/AUSTRALIA_5M_DEM	澳大利亚 5 米 DEM	Australian 5M DEM	从 LiDAR 模型派生的澳大利亚数字地表模型 (DEM) 5 米网格代表国家 5 米（裸地）DEM，该 DEM 是根据 2001 年至 2015 年期间约 236 项单独的 LiDAR 调查派生而来，覆盖面积超过 24.5 万平方公里。这些调查涵盖了澳大利亚的人口稠密…	The Digital Elevation Model (DEM) 5 meter Grid of Australia derived from LiDAR model represents a National 5 meter (bare earth) DEM which has been derived from some 236 individual LiDAR surveys between 2001 and 2015 covering an area in excess of 245,000 square kilometers. …	image_collection	ready	2015-12-01	2015-12-01	5.0	5.0		Geoscience Australia	elevation	elevation-topography	australia, dem, elevation, elevation-topography, ga, geophysical, geoscience-australia, lidar	114.09, -43.45, 153.64, -9.88	CC-BY-4.0	https://developers.google.com/earth-engine/datasets/catalog/AU_GA_AUSTRALIA_5M_DEM
AU/GA/DEM_1SEC/v10/DEM-H	DEM-H：澳大利亚 SRTM 水文强制数字高程模型	DEM-H: Australian SRTM Hydrologically Enforced Digital Elevation Model	基于水文的数字海拔模型 (DEM-H) 派生自 NASA 在 2000 年 2 月获取的 SRTM 数据。该模型已进行水文条件化处理，并强制执行排水。DEM-H 可根据 SRTM 海拔和映射的河流线捕获流路，并支持划定集水区和相关水文属性。…	The Hydrologically Enforced Digital Elevation Model (DEM-H) was derived from the SRTM data acquired by NASA in February 2000. The model has been hydrologically conditioned and drainage enforced. The DEM-H captures flow paths based on SRTM elevations and mapped stream lines, and supports delineation of …	image	ready	2010-02-01	2010-02-01	30.92	30.92		Geoscience Australia	elevation	elevation-topography	australia, dem, elevation, elevation-topography, ga, geophysical, geoscience-australia, smoothed, srtm	112.99, -44.06, 154.0, -9.99	CC-BY-4.0	https://developers.google.com/earth-engine/datasets/catalog/AU_GA_DEM_1SEC_v10_DEM-H
AU/GA/DEM_1SEC/v10/DEM-S	DEM-S：澳大利亚平滑数字高程模型	DEM-S: Australian Smoothed Digital Elevation Model	平滑数字海拔模型 (DEM-S) 派生自 NASA 在 2000 年 2 月获取的 SRTM 数据。DEM-S 表示地面表面地形（不包括植被地图项），并且已经过平滑处理，以减少噪声并改进表面形状的表示。与传统方法相比，自适应处理流程在更平坦的区域应用了更多平滑处理	The Smoothed Digital Elevation Model (DEM-S) was derived from the SRTM data acquired by NASA in February 2000. DEM-S represents ground surface topography (excluding vegetation features) and has been smoothed to reduce noise and improve the representation of surface shape. An adaptive process applied more …	image	ready	2010-02-01	2010-02-01	30.92	30.92		Geoscience Australia	elevation	elevation-topography	australia, dem, elevation, elevation-topography, ga, geophysical, geoscience-australia, smoothed, srtm	112.99, -44.06, 154.0, -9.99	CC-BY-4.0	https://developers.google.com/earth-engine/datasets/catalog/AU_GA_DEM_1SEC_v10_DEM-S
BIOPAMA/GlobalOilPalm/v1	全球油棕种植园地图	Global Map of Oil Palm Plantations	该数据集是 2019 年全球工业和小规模油棕榈地图，分辨率为 10 米。该数据集涵盖检测到油棕榈种植园的区域。分类图像是基于 Sentinel-1 和 Sentinel-2 半年合成图的卷积神经网络的输出。如需了解详情，请参阅相关文章。	The dataset is a 10m global industrial and smallholder oil palm map for 2019. It covers areas where oil palm plantations were detected. The classified images are the output of a convolutional neural network based on Sentinel-1 and Sentinel-2 half-year composites. See article for additional …	image_collection	ready	2019-01-01	2019-12-31	10.0	10.0		Biopama programme	classification	agriculture	agriculture, biodiversity, biopama, conservation, crop, global, landuse, palm, plantation	-180.0, -90.0, 180.0, 90.0	CC-BY-4.0	https://developers.google.com/earth-engine/datasets/catalog/BIOPAMA_GlobalOilPalm_v1
BLM/AIM/v1/TerrADat/TerrestrialAIM	BLM AIM TerrADat TerrestrialAIM Point v1	BLM AIM TerrADat TerrestrialAIM Point v1	自 2011 年以来，美国土地管理局 (BLM) 一直在通过其评估、清单和监测 (AIM) 策略收集实地信息，以了解土地健康状况。截至目前，我们已在 BLM 土地上收集了超过 6,000 个陆地 AIM 地块样本。BLM AIM 数据归档每年更新一次。标准化核心指标…	Since 2011, the Bureau of Land Management (BLM) has collected field information to inform land health through its Assessment Inventory and Monitoring (AIM) strategy. To date, more than 6,000 terrestrial AIM field plots have been collected over BLM lands. The BLM AIM data archive is …	table	ready	2011-05-10	2016-12-06				US Department of Interior Bureau of Land Management (BLM)		ecosystems, soil	aim, biota, blm, ecosystems, endangered, environment, grsg, health, hydrology, landscape, range, soil, table, terradat, terrestrialaim, vegetation, wildlife	-180.0, -90.0, 180.0, 90.0	CC0-1.0	https://developers.google.com/earth-engine/datasets/catalog/BLM_AIM_v1_TerrADat_TerrestrialAIM
BNETD/land_cover/v1	科特迪瓦 BNETD 2020 年土地覆盖地图	Cote d'Ivoire BNETD 2020 Land Cover Map	科特迪瓦 BNETD 2020 土地覆盖图由科特迪瓦政府通过国家机构（国家研究办公室技术与发展地理信息和数字中心 [BNETD-CIGN]）制作，并获得了欧盟的技术和资金支持。制作地图所用的方法…	The Cote d'Ivoire BNETD 2020 Land Cover Map was produced by the Ivorian Government through a national institution, the Center for Geographic Information and Digital from the National Study Office Techniques and Development (BNETD-CIGN), with technical and financial support from the European Union. The methodology …	image_collection	ready	2020-01-01	2021-01-01	10.0	10.0	1 year cadence	BNETD-CIGN	classification	landuse-landcover	classification, deforestation, forest, landcover, landuse-landcover	-8.602, 4.3603, -2.493, 10.74	CC-BY-4.0	https://developers.google.com/earth-engine/datasets/catalog/BNETD_land_cover_v1
BNU/FGS/CCNL/v1	CCNL：DMSP-OLS（1992-2013 年）v1 版的一致且经过校正的夜间灯光数据集	CCNL: Consistent and Corrected Nighttime Light Dataset from DMSP-OLS (1992-2013) v1	一致且经过校正的夜间灯光 (CCNL) 数据集是美国国防气象计划 (DMSP) 操作性线扫描系统 (OLS) 版本 4 的经过重新处理的版本。我们采用了一系列方法来减少年际不一致性、饱和度和过曝光影响，并提高数据质量。CCNL 版本 1 涵盖…	The Consistent and Corrected Nighttime Lights (CCNL) dataset is a reprocessed version of the Defense Meteorological Program (DMSP) Operational Line-Scan System (OLS) Version 4. A series of methods was used to mitigate the impact of inter-annual inconsistency, saturation, and blooming effects and to improve data …	image_collection	ready	1992-01-01	2014-01-01	1000.0	1000.0	1 year cadence	Beijing Normal University	b1	population	bnu, dmsp, eog, imagery, lights, nighttime, ols, population, visible, yearly	-180.0, -65.0, 180.0, 75.0	CC-BY-4.0	https://developers.google.com/earth-engine/datasets/catalog/BNU_FGS_CCNL_v1
CANADA/NFIS/NTEMS/CA_FOREST_AGE	加拿大 2019 年基于 Landsat 的森林年龄数据	Landsat-derived forest age for Canada 2019	“加拿大主要森林数据集”是基于卫星数据绘制的 2019 年加拿大森林生态区的森林年龄地图，空间分辨率为 30 米。我们利用 Landsat 遥感数据（干扰、地表反射率复合图、森林结构）和 MODIS（总初级生产力）数据来确定树龄。在干扰可能发生的地方，可以确定森林的年龄…	Canadian primary forest dataset is a satellite-based forest age map for 2019 across Canada's forested ecozones at a 30-m spatial resolution. Remotely-sensed data from Landsat (disturbances, surface reflectance composites, forest structure) and MODIS (Gross Primary Production) are utilized to determine age. Forest age can be …	image_collection	ready	2019-01-01	2020-01-01	30.0	30.0		National Forest Information System	forest	forest-biomass	canada, forest, forest-biomass	-180.0, -90.0, 180.0, 90.0	CC-BY-4.0	https://developers.google.com/earth-engine/datasets/catalog/CANADA_NFIS_NTEMS_CA_FOREST_AGE
CAS/IGSNRR/PML/V2	PML_V2 0.1.4: Coupled Evapotranspiration and Gross Primary Production (GPP) [deprecated]	PML_V2 0.1.4: Coupled Evapotranspiration and Gross Primary Production (GPP) [deprecated]	Penman-Monteith-Leuning Evapotranspiration V2 (PML_V2) products include evapotranspiration (ET), its three components, and gross primary product (GPP) at 500m and 8-day resolution during 2002-2017 and with spatial range from -60°S to 90°N. The major advantages of the PML_V2 products are: 1. coupled estimates of transpiration and GPP via canopy conductance (Gan et al., 2018; Zhang et al., 2019) 2. partitioning ET into three components: transpiration from vegetation, direct evaporation from the soil and vaporization of intercepted rainfall from vegetation (Zhang et al., 2016). The PML_V2 products perform well against observations at 95 flux sites across the globe, and are similar to or noticeably better than major state-of-the-art ET and GPP products widely used by water and ecology research communities (Zhang et al., 2019).	Penman-Monteith-Leuning Evapotranspiration V2 (PML_V2) products include evapotranspiration (ET), its three components, and gross primary product (GPP) at 500m and 8-day resolution during 2002-2017 and with spatial range from -60°S to 90°N. The major advantages of the PML_V2 products are: 1. coupled estimates of transpiration and GPP via canopy conductance (Gan et al., 2018; Zhang et al., 2019) 2. partitioning ET into three components: transpiration from vegetation, direct evaporation from the soil and vaporization of intercepted rainfall from vegetation (Zhang et al., 2016). The PML_V2 products perform well against observations at 95 flux sites across the globe, and are similar to or noticeably better than major state-of-the-art ET and GPP products widely used by water and ecology research communities (Zhang et al., 2019).	image_collection	deprecated	2002-07-04	2017-12-27	500.0	500.0	8 day cadence	PML_V2	GPP, Ec, Es, Ei, ET_water	plant-productivity, water-vapor	evapotranspiration, gpp, plant-productivity, water-vapor	-180.0, -60.0, 180.0, 90.0	CC-BY-4.0	https://developers.google.com/earth-engine/datasets/catalog/CAS_IGSNRR_PML_V2
