# export_metadata: {"exported_at": "2026-08-24T11:55:00Z", "rows": 96, "scope": "best-effort index of public Iranian supplier catalogues", "skill": "iran-chem-database@2.17.2 (parallel-AI run)", "note": "inorganic rows rejected at the organic gate"}
molecule,name_variants,cas_number,inchi_key,pubchem_cid,molecular_formula,organic_status,identity_method,vendors,offerings,brand,pack,price,price_currency,availability,evidence_text,evidence_url,evidence_by,sources,provenance_hash
ammonium sulfate,ammonium sulfate,7783-20-2,BFNBIHQBYMNNAN-UHFFFAOYSA-N,6097028,,false,structured_pubchem,jahaneshimicom,2,,,,,,📣 فروش *سولفات آمونیوم کریستال* 💯 آماده بارگیری جهت استعلام قیمت تماس بگیرید: ☎️ 02188970262 📱 09120196114 📱 09120185621,https://t.me/jahaneshimicom/61,rules+ai-audit,structured_pubchem,65b39f123d399bc4
magnesium sulfate,magnesium sulfate,7487-88-9,CSNNHWWHGAXBCP-UHFFFAOYSA-L,24083,MgO4S,false,,jahaneshimicom,1,,,,,,🟡 🔵 🟢 🟣 ⚫️ 🟤 🟡 سولفات روی پودری 34% 🔵 سولفات مس پودری 24% 🟢 سولفات آهن کریستال خشک 20% N 🟣 سولفات پتاسیم پودری 52% ⚫️ سولفات منگنز پودری 33% 🟤 سولفات منیزیم پودری 24% رابو تجارت 📱 09215906828 📱 09215909163 📱 09128199608,https://t.me/jahaneshimicom/92,ai_corrected:mistral,ai_corrected,3ba1ca55461be3d3
silver nitrate,silver nitrate,7761-88-8,SQGYOTSLMSWVJD-UHFFFAOYSA-N,24470,AgNO3,false,structured_pubchem,jahaneshimicom; merckmillipore,2,,1 کیلو,,,,سلام نیترات نقره ١ کیلو گرم قیمت؟ 09034715647 ابراهیمی,https://t.me/jahaneshimicom/108,rules+ai-audit,ai_verified+structured_pubchem,475648f720eb3fb6
potassium sulfate,potassium sulfate,,OTYBMLCTZGSZBG-UHFFFAOYSA-L,24507,K2O4S,false,,jahaneshimicom,1,Zarrin,,,,,سلام از شرکت سبحان نهاده سبز زرین تولید کننده سولفات پتاسیم با کیفیت بالا در خدمت هستیم 09154511057,https://t.me/jahaneshimicom/111,ai_corrected:mistral,ai_corrected,a527b00bca16a346
phosphoric acid,phosphoric acid,7664-38-2,NBIIXXVUZAFLBC-UHFFFAOYSA-N,1004,,false,structured_pubchem,jahaneshimicom,1,,,,,,سلام اسید فسفریک دارید؟ 09121694034,https://t.me/jahaneshimicom/123,rules+ai-audit,structured_pubchem,8eaa7273543c8216
magnesium nitrate,magnesium nitrate,,YIXJRHPUWRPCBB-UHFFFAOYSA-N,25212,MgN2O6,false,,jahaneshimicom,1,,,,,,سلام نوار منیزیم و پتاسيم یدید قیمت لطف کنید 09356694742,https://t.me/jahaneshimicom/149,ai_corrected:mistral,ai_corrected,2b4594ee598c21a6
Iron(III) chloride,Iron(III) chloride,7705-08-0,RBTARNINKXHZNM-UHFFFAOYSA-K,24380,Cl3Fe,false,ai_verified,ChemIranSanat,1,,,,,,,t.me/ChemIranSanat,mistral,ai_verified,e957d6342a244895
Yttrium,Yttrium,7440-65-5,VWQVUPCCIRVNHF-UHFFFAOYSA-N,23993,Y,false,ai_verified,ChemIranSanat,1,,,,,,,t.me/ChemIranSanat,llm7,ai_verified,37a016b1b3511ea1
Rhodium,Rhodium,7440-16-6,MHOVAHRLVXNVSD-UHFFFAOYSA-N,23948,Rh,false,ai_verified,ChemIranSanat,1,,,,,,,t.me/ChemIranSanat,llm7,ai_verified,a0639431a9fc926a
Water HPLC,Water HPLC | Water | water | آب | Avogadro's number,7732-18-5,XLYOFNOQVPJJNP-UHFFFAOYSA-N,962,H2O,false,ai_verified,IranChemicals; LabTel; chemgroup; minatajhiz,5,,,,,,,t.me/minatajhiz,mistral,ai_verified,d6fdabaa77304fdb
Ammonium hexafluorophosphate,Ammonium hexafluorophosphate,16941-11-0,NIZXKAYXSNUDOU-UHFFFAOYSA-O,9793912,F6H4NP,false,ai_verified,minatajhiz,1,,,,,,,t.me/minatajhiz,mistral,ai_verified,21c13a87e572402b
Sodium peroxide,Sodium peroxide,1313-60-6,PFUVRDFDKPNGAV-UHFFFAOYSA-N,14803,Na2O2,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,mistral,ai_verified,59ba14a9bc9782e6
Aluminum phosphide,Aluminum phosphide,20859-73-8,PGCGUUGEUBFBPP-UHFFFAOYSA-N,16126812,AlP,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,gemini,ai_verified,57cb103b91844a32
Chromium trioxide,Chromium trioxide,1333-82-0,WGLPBDUCMAPZCE-UHFFFAOYSA-N,14915,CrO3,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,gemini,ai_verified,3299f3ae5e9eb349
aluminum trihydroxide,aluminum trihydroxide,21645-51-2,WNROFYMDJYEPJX-UHFFFAOYSA-K,10176082,AlH3O3,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,mistral,ai_verified,4e497b7702d856bc
sulfuryl fluoride,sulfuryl fluoride,2699-79-8,OBTWBSRJZRCYQV-UHFFFAOYSA-N,17607,F2O2S,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,mistral,ai_verified,147d57cee3f1a973
"lead(II,IV) oxide","lead(II,IV) oxide",1314-41-6,XMFOQHDPRMAJNU-UHFFFAOYSA-N,16685188,O4Pb3,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,mistral+gemini,ai_verified,b2a4b064a4a2ed93
Sodium Aluminate,Sodium Aluminate,1302-42-7,IYJYQHRNMMNLRH-UHFFFAOYSA-N,14766,AlNaO2,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,gemini,ai_verified,a287d6b023feda2f
lead(II) oxide,lead(II) oxide,1317-36-8,YEXPOXQUZXUXJW-UHFFFAOYSA-N,14827,OPb,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,mistral+mistral+mistral,ai_verified,9c9d7a289c6c3142
Lucas reagent,Lucas reagent,,CRUISIDZTHMGJT-UHFFFAOYSA-L,21263579,Cl3HZn,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,cohere,ai_verified,e457921a95dd1184
Talc,Talc | talc,14807-96-6,QLQXSZZVUVMFHZ-UHFFFAOYSA-L,165411828,H2Mg3O12Si4,false,ai_verified,IranChemicals; jahaneshimicom,2,,,,,,,t.me/jahaneshimicom,cohere+gemini,ai_verified,f99fa19e34099f14
Nickel sulfate,Nickel sulfate,7786-81-4,LGQLOGILCSXPEA-UHFFFAOYSA-L,24586,NiO4S,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,cohere,ai_verified,ea98211956e1e39e
Sodium hydrogen sulfite,Sodium hydrogen sulfite,7773-08-9,DWAQJAXMDSEUJJ-UHFFFAOYSA-M,23665763,HNaO3S,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,cohere,ai_verified,7fecca84fe6435ac
Hydrogen,Hydrogen | مولکول هیدروژن | هیدروژن,1333-74-0,UFHFLCQGNIYNRP-UHFFFAOYSA-N,783,H2,false,ai_verified,chemgroup,3,,,,,,,t.me/chemgroup,gemini+gemini+gemini+gemini+gemini,ai_verified,e7ab09bf0debbd15
sodium molybdate,sodium molybdate,10102-40-6,FDEIWTXVNPKYDL-UHFFFAOYSA-N,16211258,H4MoNa2O6,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,mistral,ai_verified,045a96196408f929
Sulfur,Sulfur,7704-34-9,NINIDFKCEFEMDL-UHFFFAOYSA-N,5362487,S,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,gemini,ai_verified,d6454446f9235eb7
Dry Ice,Dry Ice | Carbon dioxide,124-38-9,CURLTUGMZLYLDI-UHFFFAOYSA-N,280,CO2,false,ai_verified,IranChemicals; chemgroup,2,,,,,,,t.me/chemgroup,cohere,ai_verified,cf9eef094ec93162
Sodium Silicate,Sodium Silicate | سدیم سیلیکات,1344-09-8,NTHWMYGWWRZVTN-UHFFFAOYSA-N,23266,Na2O3Si,false,ai_verified,IranChemicals; chemgroup,2,,,,,,,t.me/chemgroup,cohere,ai_verified,2420d660f4481273
Tin(II) sulfide,Tin(II) sulfide,1314-95-0,DZXKSFDSPBRJPS-UHFFFAOYSA-N,10130046,SSn,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,mistral,ai_verified,101dd921a423a336
Tungsten,Tungsten,7440-33-7,WFKWXMTUELFFGS-UHFFFAOYSA-N,23964,W,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,gemini+gemini,ai_verified,f24ddd50edb1f394
Bismuth,Bismuth,7440-69-9,JCXGWMGPZLAOME-UHFFFAOYSA-N,5359367,Bi,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,gemini,ai_verified,742f8ad29d462dc7
Radium,Radium,7440-14-4,HCWPIIXVSYCSAN-UHFFFAOYSA-N,6328144,Ra,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,gemini,ai_verified,ae1c35b2648d16fc
Bromine,Bromine,7726-95-6,GDTBXPJZTBHREO-UHFFFAOYSA-N,24408,Br2,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,gemini,ai_verified,ca425af0f58580dd
Iron powder,Iron powder | Iron | Iron nanoparticles,7439-89-6,XEEYBQQBJWHFJM-UHFFFAOYSA-N,23925,Fe,false,ai_verified,IranChemicals; jahaneshimicom,3,,,,,,,t.me/jahaneshimicom,llm7,ai_verified,c5d2938d661d7876
Magnesium phosphide,Magnesium phosphide,7778-43-0,IHZDYHDJAVUIBH-UHFFFAOYSA-L,24500,AsHNa2O4,false,ai_verified,jahaneshimicom,1,,,,,,,t.me/jahaneshimicom,llm7,ai_verified,efadb711cc4f9d96
Gold,Gold | gold,7440-57-5,PCHJSUWPFVWCPO-UHFFFAOYSA-N,23985,Au,false,ai_verified,IranChemicals; chemgroup,2,,,,,,,t.me/chemgroup,gemini+gemini+gemini+cohere,ai_verified,514b5f9f7a2e6d7f
Nitrogen,Nitrogen,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,947,N2,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,gemini+mistral,ai_verified,341e7eb39b90a766
Nickel sulfide,Nickel sulfide,16812-54-7,WWNBZGLDODTKEM-UHFFFAOYSA-N,28094,NiS,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,gemini,ai_verified,c9f7823201e50185
Iron oxide red,Iron oxide red,1332-37-2,WMVRXDZNYVJBAH-UHFFFAOYSA-N,123289,FeO2,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini+gemini,ai_verified,03b1894eba2a089c
strontium sulfide,strontium sulfide,10044-97-9,XXCMBPUMZXRBTN-UHFFFAOYSA-N,14820,SSr,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,llm7,ai_verified,7392c2ee53df8ec8
Lazurite,Lazurite | ultramarine | Ultramarine,1302-85-8,IRERQBUNZFJFGC-UHFFFAOYSA-L,71587188,Al6Na8O24S3Si6,false,ai_verified,IranChemicals,3,,,,,,,t.me/IranChemicals,gemini+gemini,ai_verified,34e096ad9f296e1b
Uranium hexafluoride,Uranium hexafluoride,7783-79-1,LMDVZDMBPZVAIV-UHFFFAOYSA-N,24558,F6Se,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,llm7,ai_verified,7b5a7120c7e31b30
Lead,Lead,7439-92-1,WABPQHHGFIMREM-UHFFFAOYSA-N,5352425,Pb,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,cohere+mistral+mistral,ai_verified,d25d676e5ee51f4a
Copper(II) oxide,Copper(II) oxide,1317-38-0,KKCXRELNMOYFLS-UHFFFAOYSA-N,164827,CuO,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,mistral+mistral,ai_verified,4c6eee87bc8e8d78
ammonium nitrate,ammonium nitrate,6484-52-2,DVARTQFDIMZBAA-UHFFFAOYSA-O,22985,H4N2O3,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,mistral+gemini+gemini,ai_verified,1e69de1abb1b0807
Limonite,Limonite,1317-63-1,CWYNVVGOOAEACU-UHFFFAOYSA-N,27284,Fe+2,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini,ai_verified,aec162277aa62f26
Aluminium oxide,Aluminium oxide,1344-28-1,PNEYBMLMFCGWSK-UHFFFAOYSA-N,9989226,Al2O3,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini,ai_verified,a8e15ed9b92048a8
Zirconium,Zirconium,7440-67-7,QCWXUUIWCKQGHC-UHFFFAOYSA-N,23995,Zr,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini,ai_verified,b11837ac98f2ab16
silver nanoparticles,silver nanoparticles | Silver,7440-22-4,BQCADISMDOOEFD-UHFFFAOYSA-N,23954,Ag,false,ai_verified,IranChemicals,2,,,,,,,t.me/IranChemicals,mistral+mistral,ai_verified,0d1a511d624f3eae
ozone,ozone,10028-15-6,CBENFWSGALASAD-UHFFFAOYSA-N,24823,O3,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,mistral+mistral+gemini+mistral+gemini+gemini+cohere,ai_verified,bf5a95c1e25b9082
Iron ore,Iron ore | Iron oxide,1309-37-1,JEIPFZHSYJVQDO-UHFFFAOYSA-N,518696,Fe2O3,false,ai_verified,IranChemicals; jahaneshimicom,2,,,,,,,t.me/IranChemicals,gemini,ai_verified,5af6cd73bf370a54
Deuterated compounds,Deuterated compounds | Heavy water | D2O,7789-20-0,XLYOFNOQVPJJNP-ZSJDYOACSA-N,24602,H2O,false,ai_verified,IranChemicals,3,,,,,,,t.me/IranChemicals,gemini,ai_verified,8b6449060041154c
Persian red,Persian red,,BXVHGCHMBBNRBU-UHFFFAOYSA-N,29078,CrO5Pb2,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,llm7+llm7,ai_verified,fccab646c3b6bbfd
Uranium,Uranium,7440-61-1,JFALSRSLKYAFGM-UHFFFAOYSA-N,23989,U,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,mistral+cohere+mistral,ai_verified,a2c6bf4c93f590b1
Zinc,Zinc,7440-66-6,HCHKCACWOHOZIP-UHFFFAOYSA-N,23994,Zn,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,mistral+cohere+mistral+mistral,ai_verified,18d95e0ef2bf428d
Thorium,Thorium,7440-29-1,ZSLUVFAKFWKJRC-UHFFFAOYSA-N,23960,Th,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,cohere+cohere,ai_verified,7d5f86dfa8f148eb
Palladium,Palladium,7440-05-3,KDLHZDBZIXYQEI-UHFFFAOYSA-N,23938,Pd,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,cohere,ai_verified,dfb897db76411f35
antimony,antimony,7440-36-0,WATWJIUSRGPENY-UHFFFAOYSA-N,5354495,Sb,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,mistral+mistral,ai_verified,cc4245294f2f5088
helium,helium,7440-59-7,SWQJXJOGLNCZEY-UHFFFAOYSA-N,23987,He,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,mistral,ai_verified,b102bf85afaa4f2e
Neodymium,Neodymium,7440-00-8,QEFYFXOXNSNQGX-UHFFFAOYSA-N,23934,Nd,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,cohere+gemini+cohere+mistral,ai_verified,1083e3c8de97b3f5
Germanium,Germanium,7440-56-4,GNPVGFCGXDBREM-UHFFFAOYSA-N,6326954,Ge,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini,ai_verified,8dd027d0123f7766
Magnesium,Magnesium,7439-95-4,FYYHWMGAXLPEAU-UHFFFAOYSA-N,5462224,Mg,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini+mistral,ai_verified,ce056cb25ae75777
Aluminum,Aluminum,7429-90-5,XAGFODPZIPBFFR-UHFFFAOYSA-N,5359268,Al,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,cohere+mistral+gemini,ai_verified,ee527118692aee9a
Polonium,Polonium,7440-08-6,HZEBHPIOVYHPMT-UHFFFAOYSA-N,6328143,Po,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini,ai_verified,d4fd2c5140dab4e2
Phosphate Buffered Saline,Phosphate Buffered Saline,143-55-3,LOKCTEFSRHRXRJ-UHFFFAOYSA-I,24978514,Cl2H3K2Na3O8P2,false,ai_verified,LabTel,2,,,,,,,t.me/LabTel,cohere+mistral+cohere+cohere+cohere+cohere,ai_verified,a4c62540351dda53
Phosphate Buffered Saline,Phosphate Buffered Saline,7758-16-9,GYQBBRRVRKFJRG-UHFFFAOYSA-L,24451,H2Na2O7P2,false,ai_verified,LabTel,1,,,,,,,t.me/LabTel,cohere+cohere+cohere+cohere+cohere,ai_verified,3740def8d69a1667
potassium chloride,potassium chloride,7447-40-7,WCUXLLCKKVVCTQ-UHFFFAOYSA-M,4873,ClK,false,ai_verified,LabTel,1,,,,,,,t.me/LabTel,mistral,ai_verified,2bb944fd95f511c4
Nitric acid,Nitric acid,7697-37-2,GRYLNZFGIOXLOG-UHFFFAOYSA-N,944,HNO3,false,ai_verified,ChemIranSanat,1,,,,,,,t.me/ChemIranSanat,mistral,ai_verified,05e4e14646ec75d6
Cesium bromide,Cesium bromide,7787-69-1,LYQFWZFBNBDLEO-UHFFFAOYSA-M,24592,BrCs,false,ai_verified,ChemIranSanat,1,,,,,,,t.me/ChemIranSanat,mistral,ai_verified,b2ed0d088f484a81
Gold(III) chloride trihydrate,Gold(III) chloride trihydrate,13453-07-1,RJHLTVSLYWWTEF-UHFFFAOYSA-K,26030,AuCl3,false,ai_verified,ChemIranSanat,1,,,,,,,t.me/ChemIranSanat,cohere,ai_verified,9469642a5741d18f
Potassium hexachloroplatinate(IV),Potassium hexachloroplatinate(IV),19373-98-7,DPAIVKJGTXERIM-UHFFFAOYSA-H,61856,Cl6K2Pt,false,ai_verified,ChemIranSanat,1,,,,,,,t.me/ChemIranSanat,cohere,ai_verified,56383daa852157e3
Rubidium,Rubidium,7440-17-7,IGLNJRXAVVLDKE-UHFFFAOYSA-N,5357696,Rb,false,ai_verified,minatajhiz,1,,,,,,,t.me/minatajhiz,mistral,ai_verified,0561305d99da550d
hydrofluoric acid,hydrofluoric acid,,KRHYYFGTRYWZRS-UHFFFAOYSA-N,14917,FH,false,ai_verified,minatajhiz,1,,,,,,,t.me/minatajhiz,mistral,ai_verified,defdf737c7c03ac5
Iron(III) oxide,Iron(III) oxide,1317-61-9,SZVJSHCCFOBDDC-UHFFFAOYSA-N,16211978,Fe3O4,false,ai_verified,chemgroup,1,,,,,,,t.me/chemgroup,cohere,ai_verified,83137a19b5dc685b
Copper(II) hydrogen arsenate,Copper(II) hydrogen arsenate,10103-61-4,RKYSWCFUYJGIQA-UHFFFAOYSA-H,26065,As2Cu3O8,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini,ai_verified,af8512bf27d2fbee
Uranium oxide,Uranium oxide,1344-57-6,OOAWCECZEHPMBX-UHFFFAOYSA-N,51003830,O2U,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,cohere,ai_verified,17dcb57768fdd02c
Nickel,Nickel,7440-02-0,PXHVJJICTQNCMI-UHFFFAOYSA-N,935,Ni,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini,ai_verified,93ac41e187bbeaeb
Lithium,Lithium,7439-93-2,WHXSMMKQMYFTQS-UHFFFAOYSA-N,3028194,Li,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini+cohere,ai_verified,fb7269eafe81b5fe
Oxygen,Oxygen,7782-44-7,MYMOFIZGZYHOMD-UHFFFAOYSA-N,977,O2,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini,ai_verified,0fabfff43287e0ba
thallium,thallium,7440-28-0,BKVIYDNLLOSFOA-UHFFFAOYSA-N,5359464,Tl,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,mistral+mistral,ai_verified,85850396bee02cbd
Nitrate,Nitrate,14797-55-8,NHNBFGGVMKEFGY-UHFFFAOYSA-N,943,NO3-,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini+gemini,ai_verified,168883e2a5083da8
Mercury,Mercury,7439-97-6,QSHDDOUJBYECFT-UHFFFAOYSA-N,23931,Hg,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,mistral,ai_verified,9b649da3a47600ec
Arsenic,Arsenic,7440-38-2,RQNWIZPPADIBDY-UHFFFAOYSA-N,5359596,As,false,ai_verified,IranChemicals,1,,,,,,,t.me/IranChemicals,gemini,ai_verified,cbbd868342eeab53
Europium,Europium,7440-53-1,OGPBJKLSAFTDLK-UHFFFAOYSA-N,23981,Eu,false,ai_verified,ChemIranSanat,1,,,,,,,t.me/ChemIranSanat,mistral,ai_verified,86e53acc41691b8e
