"# export_metadata: {""exported_at"": ""2026-08-23T03:30:25Z"", ""skill"": ""iran-chem-database@2.13.0 (clawhub: @orionshaowswmw/iran-chem-database)"", ""scope"": ""BEST-EFFORT dated index of organic molecules offered by verified IRANIAN suppliers (public Telegram channels + public supplier web catalogs), crawled 2026-08-23 from a foreign datacenter. NOT a claim of national completeness; coverage per source is in coverage_report.json."", ""rows"": 334, ""organic_rows"": 210, ""unknown_organic_rows"": 124, ""unique_molecules"": 334, ""ai_assisted_identities"": 194, ""channel_verification"": {""merckmillipore"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""labshop"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""minatajhiz"": {""verified"": true, ""country"": ""IR"", ""score"": 65, ""families"": [""domain"", ""language"", ""location""], ""level"": ""offline""}, ""ChemIranSanat"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""Maran_Tejarat_Eshen"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""jahaneshimicom"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""Ch_Chemical_leaders"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""Boof_company"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""fanchem"": {""verified"": true, ""country"": ""IR"", ""score"": 85, ""families"": [""domain"", ""language"", ""phone""], ""level"": ""offline""}, ""IranChemicals"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""chemgroup"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""LabTel"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}}, ""notes"": ""identity_method: alias=curated dictionary, cas_only(+pubchem), structured_alias/structured_pubchem=skill shape extractor, ai_resolved+=cloud model (router.py) + PubChem check. organic_status=unknown rows are unresolved records, kept per skill mandate, never silently discarded.""}"
molecule,cas,pubchem_cid,inchi_key,formula,molecular_weight,canonical_smiles,common_name,iupac_name,organic_status,identity_method,kind,grade,brand,sku,purity_percent,pack_size,availability,price,n_suppliers,suppliers,n_source_records,source_urls,date_range,text_evidence
(phenyldisulfanyl)benzene,,13436,GUUVPOWQJOLRAS-UHFFFAOYSA-N,C12H10S2,,,Diphenyl disulfide,,organic,structured_pubchem,substance,research,Merck,820989,,,,,1,telegram:minatajhiz,1,,,دی فنیل دی سولفید Diphenyl disulfide کد محصول مرک: 820989 واردات جدید مرک
"1,2-dimethoxy-4-[(E)-prop-1-enyl]benzene",,637776,NNWHUJCUHAELCL-SNAWJCMRSA-N,C11H14O2,,,Methylisoeugenol,,organic,structured_pubchem,substance,research,,,,,in_stock,,1,telegram:minatajhiz,1,,,💡 متیل‌دار کردن متیل‌دار کردن یا متیلاسیون (Methylation) در شیمی به معنای افزایش یا جانشینی یک گروه متیل به یک مولکول است. متیلاسیون، گونه‌ای از آلکیلاسیون است که ترجیحاً با جایگزینی یک گروه متیل با یک اتم هیدروژن را در زنجیره کربنی بلندتر صورت می‌پذیرد. این شرایط در شیمی، زیست‌شیمی و شیمی خاک بیشتر
"1,3,5-triazine-2,4,6-triamine",,7955,JDSHMPZPIAZGSV-UHFFFAOYSA-N,C3H6N6,,,Melamine,,organic,structured_pubchem,substance,research,Exir,006123,,value=500.0 unit=g normalised_value=500.0 normalised_unit=g raw=500g,in_stock,,1,telegram:ChemIranSanat,1,,,"006123 Exir Melamine, 99% 500g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📦 ارسال رایگان 📱 سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1"
"1,3,7-trimethylpurine-2,6-dione",58-08-2,2519,RYYVLZVUVIJVGH-UHFFFAOYSA-N,C8H10N4O2,194.19,,Caffeine,"1,3,7-trimethylpurine-2,6-dione",organic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,شیمی پاییز، فصل رنگ ها با عدم تولید کلروفیل و تجزیه کلروفیل موجود، ترکیبات رنگی دیگر خودی نشان می دهند. پاییزتون بخیر 🆔 @ChemIran1
"1,3-diphenylpropane-1,3-dione",,8433,NZZIMKJIVMHWJC-UHFFFAOYSA-N,C15H12O2,,,Dibenzoylmethane,,organic,structured_pubchem,substance,research,Merck,820538,,,,,1,telegram:minatajhiz,1,,,"1و3-دی فنیل 1و3-پروپاندیون (دی بنزوئیل متان) 1,3-Diphenyl-1,3-propanedione کد محصول مرک: 820538 واردات جدید مرک"
"1,4-diazabicyclo[2.2.2]octane",,9237,IMNIMPAHZVJRPE-UHFFFAOYSA-N,C6H12N2,,,Dabco,,organic,structured_pubchem,substance,research,Exir,012616,,value=100.0 unit=g normalised_value=100.0 normalised_unit=g raw=100g,in_stock,,2,telegram:ChemIranSanat; telegram:IranChemicals,1,https://t.me/IranChemicals/31153,2026-06-28T07:02:12+00:00,"012616 Exir 1,4-Diazabicyclo[2.2.2]octane, 99% (DABCO) 100g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📱 سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1"
"1,6-diisocyanatohexane",822-06-0,13192,RRAMGCGOFNQTLD-UHFFFAOYSA-N,C8H12N2O2,,,Hexamethylene diisocyanate,,organic,alias+pubchem,substance,research,Merck,,,,,,1,telegram:minatajhiz,1,,,"ماده شیمیایی هگزا متیلن دی ایزوسیانات محصول کمپانی مرک آلمان که جزء واردات شرکت مینا تجهیز آریا می باشد. نام های دیگر این محصول : 1,6-Diisocyanatohexane می باشد. CAS: 822-06-0 EC Number: 212-485-8 @minatajhiz_aria"
1-(bromomethyl)-2-phenylbenzene,,263365,SEXZHJJUKFXNDY-UHFFFAOYSA-N,C13H11Br,,,1-(bromomethyl)-2-phenylbenzene,,organic,structured_pubchem,substance,research,Sigma-Aldrich,360082,,value=25.0 unit=گرمی normalised_value=25.0 normalised_unit=g raw=25 گرمی,in_stock,,1,telegram:ChemIranSanat,1,,,360082 ALDRICH 2-Phenylbenzyl bromide 97% موجود و آماده تحویل واحد 25 گرمی 🆔 @ChemIran1
1-(chloromethyl)-4-ethenylbenzene,,74126,ZRZHXNCATOYMJH-UHFFFAOYSA-N,C9H9Cl,,,p-Vinylbenzyl chloride,,organic,structured_pubchem,substance,research,Acros,,,,,,1,telegram:minatajhiz,1,,,"4-Vinylbenzyl chloride, 90%, tech #acros"
1-[chloro(ethoxy)phosphoryl]oxyethane,,13139,LGTLXDJOAJDFLR-UHFFFAOYSA-N,C4H10ClO3P,,,Diethyl chlorophosphate,,organic,structured_pubchem,substance,research,Sigma-Aldrich,D91632,,value=25.0 unit=g normalised_value=25.0 normalised_unit=g raw=25g,in_stock,,1,telegram:ChemIranSanat,1,,,"D91632 Sigma-Aldrich Diethyl chlorophosphate, 97% 25g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📦 ارسال رایگان 📱 سفارش کالا 👇 📞 0938-648-9001 🆔 @ChemIranAdmin 🆔 @ChemIran1"
1-bromobutane,,8002,MPPPKRYCTPRNTB-UHFFFAOYSA-N,C4H9Br,,,Butyl bromide,,organic,structured_pubchem,substance,research,Merck,801602,,,in_stock,,1,telegram:minatajhiz,1,,,1- برومو بوتان 1-Bromobutane کد محصول مرک 801602 موجودی محدود
1-chloro-4-(4-chlorophenyl)sulfonylbenzene,,6625,GPAPPPVRLPGFEQ-UHFFFAOYSA-N,C12H8Cl2O2S,,,"4,4'-Dichlorodiphenyl sulfone",,organic,structured_pubchem,substance,research,Exir,003325,,value=100.0 unit=g normalised_value=100.0 normalised_unit=g raw=100g,in_stock,,1,telegram:ChemIranSanat,1,,,003325 Exir Bis(4-chlorophenyl) sulfone 100g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📦 ارسال رایگان 📱 سفارش کالا 👇 📞 0938-648-9001 🆔 @ChemIranAdmin 🆔 @ChemIran1
"1-hydroxypyrrolidine-2,5-dione",,80170,NQTADLQHYWFPDB-UHFFFAOYSA-N,C4H5NO3,,,N-Hydroxysuccinimide,,organic,structured_pubchem,substance,research,Exir,010372,,value=25.0 unit=g normalised_value=25.0 normalised_unit=g raw=25g,in_stock,,1,telegram:ChemIranSanat,1,,,010372 Exir N-Hydroxysuccinimide 25g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📦 ارسال رایگان 📱 سفارش کالا 👇 📱 0938 648 9001 ☎️ 77 88 18 08 🆔 @ChemIranAdmin 🆔 @ChemIran1
1-methyl-4-prop-1-en-2-ylcyclohexene,,22311,XMGQYMWWDOXHJM-UHFFFAOYSA-N,C10H16,,,1-methyl-4-prop-1-en-2-ylcyclohexene,,organic,structured_pubchem,substance,research,Merck,818407,,,,,1,telegram:minatajhiz,1,,,لیمونن (R)-(+)-Limonene کد محصول مرک: 818407 واردات جدید مرک
1-methylpiperazine,,53167,PVOAHINGSUIXLS-UHFFFAOYSA-N,C5H12N2,,,1-methylpiperazine,,organic,structured_pubchem,substance,research,,,,,in_stock,,1,telegram:ChemIranSanat,1,,,شیمی دفع پشه ترکیب 1-octen-3-ol موجود در بدن انسان عامل جذب پشه می باشد. چند ترکیب موثر برای دفع پشه ها وجود دارد. ترکیب 1-methylpiperazine انسان را در برابر پشه نامرئی میکند! 🆔 @ChemIran1
10H-phenothiazine,,7108,WJFKNYWRSNBZNX-UHFFFAOYSA-N,C12H9NS,,,Phenothiazine,,organic,structured_pubchem,substance,research,Merck,820975,,value=25.0 unit=g normalised_value=25.0 normalised_unit=g raw=25g,in_stock,,2,telegram:minatajhiz; telegram:ChemIranSanat,1,https://t.me/ChemIranSanat/1798,2019-08-29T06:56:19+00:00,فنو تیازین Phenothiazine کد محصول مرک: 820975 واردات جدید مرک
"1H-1,2,4-triazole",288-88-0,9257,NSPMIYGKQJPBQR-UHFFFAOYSA-N,C2H3N3,,,"1H-1,2,4-triazole",,organic,cas_only+pubchem,substance,research,Merck,808388,,value=69.07 unit=g normalised_value=69.07 normalised_unit=g raw=69.07 g,,,1,telegram:minatajhiz,1,,,"نام فارسی: 1و2و4 تریازول نام ماده: 1,2,4-Triazole کد محصول مرک: 808388 فرمول: C2H3N3 C A S NUMBER: 288-88-0 مولار: 69.07 g/mol نقطه جوش: 259 - 261 °C (1013 hPa) واردات جدید مرک"
"1H-3,1-benzoxazine-2,4-dione",,8359,TXJUTRJFNRYTHH-UHFFFAOYSA-N,C8H5NO3,,,Isatoic Anhydride,,organic,structured_pubchem,substance,research,Sigma-Aldrich,I12808,,value=100.0 unit=g normalised_value=100.0 normalised_unit=g raw=100G,in_stock,,1,telegram:ChemIranSanat,1,,,I12808 Sigma-Aldrich Isatoic anhydride 100G 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی 📱 دریافت قیمت یا سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1
1H-pyrrole-2-carbaldehyde,,13854,ZSKGQVFRTSEPJT-UHFFFAOYSA-N,C5H5NO,,,Pyrrole-2-carboxaldehyde,,organic,structured_pubchem,substance,research,Merck,807574,,,,,1,telegram:minatajhiz,1,,,2 پیرول کربالدهید 2-Pyrrolecarbaldehyde کد محصول مرک: 807574 واردات جدید مرک
"2,2,2-trifluoro-N-methyl-N-trimethylsilylacetamide",,32510,MSPCIZMDDUQPGJ-UHFFFAOYSA-N,C6H12F3NOSi,,,N-methyl-N-(trimethylsilyl)trifluoroacetamide,,organic,structured_pubchem,substance,research,Merck,841102,,,,,1,telegram:minatajhiz,1,,,ان-متیل- ان- تری متیل سیلیل- تری فلورو استامید N-Methyl-N-trimethylsilyl-trifluoroacetamide کد محصول مرک 841102 واردات جدید مرک
"2,2,3,3,4,4,4-heptafluorobutanoic acid",,9777,YPJUNDFVDDCYIH-UHFFFAOYSA-N,C4HF7O2,,,Heptafluorobutyric acid,,organic,structured_pubchem,substance,research,Sigma-Aldrich,,,value=25.0 unit=ml normalised_value=25.0 normalised_unit=ml raw=25ml,in_stock,,1,telegram:ChemIranSanat,1,,,52411 Sigma-Aldrich Heptafluorobutyric acid 25ml 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📱 سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1
"2,2,4-trimethylpentan-1-ol",123-44-4,31258,CWPPDTVYIJETDF-UHFFFAOYSA-N,C8H18O,130.23,,"2,2,4-Trimethyl-1-pentanol","2,2,4-trimethylpentan-1-ol",organic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:chemgroup,1,,,"🎥 از مخلوط مواد استات اتیل، ۹,۱۰-بیس(فنیل اتینیل)انتراسن، سدیم استات، هیدروژن پراکسید، تی سی پی او (TCPO)، نور تولید می شود. #ارسالی_کاربران @ChemGroup"
"2,2,4-trimethylpentane",,10907,NHTMVDHEPJAVLT-UHFFFAOYSA-N,C8H18,,,"2,2,4-trimethylpentane",,organic,structured_pubchem,substance,research,,,,,,,1,telegram:minatajhiz,1,,,"2,2,4-Trimethylpentane, puriss. p.a., ACS, >= 99.5 % GC Isooctane"
"2,2-dimethylpropane-1,3-diol",126-30-7,31344,SLCVBVWXLSEKPL-UHFFFAOYSA-N,C5H12O2,104.15,,Neopentyl glycol,"2,2-dimethylpropane-1,3-diol",organic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:Maran_Tejarat_Eshen,1,,,✅ نئوپنتیل گلایکل (NPG) ✅ برند ال جی کره ✅ موجود در انبار شورآباد 👤 برای استعلام قیمت و کسب اطلاعات بیشتر با ما در تماس باشید 🏢 بازرگانی ماران تجارت ☎️ 021-26378323 📱 09102296278 📱 09108066146 📱 09912064037 Instagram: @marantejarat Telegram: https://t.me/Maran_Tejarat_Eshen LinkedIn: https://www.lin
"2,3,4,5-tetrafluoroaniline",,21757,BEECAQIHCYTZHC-UHFFFAOYSA-N,C6H3F4N,,,"2,3,4,5-tetrafluoroaniline",,organic,structured_pubchem,substance,research,TCI,T2782,,,in_stock,,1,telegram:ChemIranSanat,1,,,"T2782 TCI 2,3,4,5-Tetrafluoroaniline, >98.0%(GC) موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی 09386489001 🆔 @ChemIran1"
"2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepine",,81184,GQHTUMJGOHRCHB-UHFFFAOYSA-N,C9H16N2,,,"1,8-Diazabicyclo(5.4.0)undec-7-ene",,organic,structured_pubchem,substance,research,Merck,803282,,,,,1,telegram:minatajhiz,1,,,"DBU 1,8-Diazabicyclo[5.4.0]undec-7-ene کد محصول مرک: 803282 واردات جدید سیگما آلدریچ"
"2,4,4-trimethylpent-2-ene",107-40-4,7869,LAAVYEUJEMRIGF-UHFFFAOYSA-N,C8H16,112.21,,"2,4,4-Trimethyl-2-pentene","2,4,4-trimethylpent-2-ene",organic,ai_resolved+cas_only+pubchem,substance,research,,,,,,,1,telegram:minatajhiz,1,,,فروش محلول هگزا متیل دی سیلوکسان از کمپانی مرک کد محصول: 814051 پکیج: 100ml برای کسب اطلاعات بیشتر با ما در ارتباط باشید @minatajhiz_aria Tell:66900058
"2,4,6-trinitrobenzenesulfonic acid",,11045,NHJVRSWLHSJWIN-UHFFFAOYSA-N,C6H3N3O9S,,,Trinitrobenzenesulfonic Acid,,organic,structured_pubchem,substance,research,Sigma-Aldrich,,,,in_stock,,1,telegram:ChemIranSanat,1,,,92822 Sigma-Aldrich Picrylsulfonic acid solution 1 M in H2O واحد 10 میلی لیتری موجود و آماده تحویل 09386489001 Admin: @ChemIranAdmin 🆔 @ChemIran1
"2,4-dihydroxybenzoic acid",,1491,UIAFKZKHHVMJGS-UHFFFAOYSA-N,C7H6O4,,,"2,4-dihydroxybenzoic acid",,organic,structured_pubchem,substance,research,Merck,800738,,,,,1,telegram:minatajhiz,1,,,"2و4 -دی هیدروکسی بنزوئیک اسید 2,4-Dihydroxybenzoic acid کد محصول مرک 800738 واردات جدید مرک"
"2,6-ditert-butyl-4-methylphenol",128-37-0,31404,NLZUEZXRPGMBCV-UHFFFAOYSA-N,C15H24O,220.35,,"2,6-Di-tert-butyl-4-methylphenol","2,6-ditert-butyl-4-methylphenol",organic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,سلام TBHQ مورد نیاز است قیمت لطفاً ؟09021994565
"2-(2-bromoethyl)isoindole-1,3-dione",574-98-1,11325,CHZXTOCAICMPQR-UHFFFAOYSA-N,C10H8BrNO2,,,"1H-Isoindole-1,3(2H)-dione, 2-(2-bromoethyl)-",,organic,cas_only+pubchem,substance,research,Merck,820178,,value=254.08 unit=g normalised_value=254.08 normalised_unit=g raw=254.08 g,,,1,telegram:minatajhiz,1,,,نام فارسی: ان برمو اتیل فتالیمید نام ماده: N-(2-Bromoethyl)phthalimide کد محصول مرک: 820178 فرمول: C10H8BrNO2 C A S NUMBER: 574-98-1 مولار: 254.08 g/mol قابلیت محلول شدن: (20 °C) insoluble واردات جدید مرک
2-(2-hydroxyethoxy)ethanol,,8117,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C4H10O3,106.12,,Diethylene Glycol,2-(2-hydroxyethoxy)ethanol,organic,structured_pubchem(over_alias),composite,industrial,,,99.9,value=230.0 unit=kg normalised_value=230000.0 normalised_unit=g raw=230 KG,,0.0 USD,1,Chemical Iran,1,,,"Di Ethylene Glycol (DEG). Anti-freeze Lubricants &amp; Automotive, Dyes, Oil Gas &amp; Petroleum, Paints &amp; Coatings, Plastic &amp; Polyester, Pulp &amp; Paper, Textile. Origin: Iran Packing: 230 KG HDPE / Steel Drum, Flexitanks, IBC tanks Minimum Order Quantity : 1 full container/truck Payment t"
2-(2-hydroxyethylamino)ethanol,,8113,ZBCBWPMODOFKDW-UHFFFAOYSA-N,C4H11NO2,105.14,,Diethanolamine,2-(2-hydroxyethylamino)ethanol,organic,structured_pubchem(over_alias),substance,industrial,,,,value=220.0 unit=kg normalised_value=220000.0 normalised_unit=g raw=220 KG,,0.0 USD,1,Chemical Iran,1,,,"Di Ethanol Amine (DEA). Agriculture, Chemicals, Cosmetics &amp; Personal Care, Dyes, Oil Gas &amp; Petroleum, Pharmaceuticals, Soaps &amp; Detergents, Textile. Origin: Iran Packing: 220 KG Steel Drum Minimum Order Quantity : 1 full container / truck Payment term: 100% in advance – T/T Why Chemical I"
2-(trimethylazaniumyl)acetate,107-43-7,247,KWIUHFFTVRNATP-UHFFFAOYSA-N,C5H11NO2,117.15,,Betaine,2-(trimethylazaniumyl)acetate,organic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,سلام بتایین برای خوراک آبزیان دارید؟ 09112272600
