"# export_metadata: {""exported_at"": ""2026-08-25T18:52:50Z"", ""skill"": ""iran-chem-database@2.19.0 (clawhub: @orionshaowswmw/iran-chem-database)"", ""rows"": 1041, ""previous_primary_rows"": 957, ""added_unique_cids_vs_v218_workspace_export"": 84, ""confirmed_organic"": 1041, ""unique_cids"": 1041, ""unique_inchikeys"": 1035, ""rows_with_cas"": 569, ""rows_with_canonical_smiles"": 1035, ""rows_with_evidence_url"": 977, ""composition"": {""verified_telegram_listing"": 358, ""verified_catalogue"": 480, ""verified_catalogue | verified_telegram_listing"": 2, ""verified_web_catalogue"": 200, ""(none)"": 1}, ""pipeline"": ""Merged previous skill seed (market-verified + expanded + parallel-AI + legacy) with 2026-08-25 live Iranian catalogue harvest (Telegram + WooCommerce + TamadKala sitemaps). CID-deduped. PubChem-confirmed. Organic gate. router.py --batch title normalization only — never invents."", ""scope"": ""BEST-EFFORT dated index of CONFIRMED-ORGANIC molecules appearing in configured public Iranian supplier catalogues. NOT a national census. Listing presence is not proof of current stock."", ""cid_dedupe"": ""enforced — zero same-CID rows"", ""provenance_hash"": ""sha256(evidence_text|evidence_url|CID) per row"", ""supersedes"": ""iran_organic_molecules_parallel_ai_2026-08-24.csv as CURRENT/PRIMARY; older seed files retained for audit""}"
molecule_name,common_name,name_variants,cas_number,pubchem_cid,inchi_key,molecular_formula,molecular_weight,canonical_smiles,organic_status,category,grade,supplier_name,supplier_platform,availability_status,evidence_url,evidence_text,identity_method,source_type,record_date,provenance_hash
2-aminobenzoic acid,2-aminobenzoic acid,,118-92-3,227,RWZYAGGXGHYGMB-UHFFFAOYSA-N,C7H7NO2,137.14,C1=CC=C(C(=C1)C(=O)O)N,confirmed_organic,,,telegram:ATRmedShop,public Telegram (seller_research),product_page_listed_not_current_stock_verified,https://t.me/ATRmedShop/440,anthranilic acid | آنترانیلیک اسید برای سنتز آنترانیلیک اسید برای سنتز یک اسید معطر است با فرمول 2-(H2N)C6H4CO2H  که دارای گروه آمینه می باشد. آنترانیلیک اسید از یک ... برای ادامه مطالب، مشاهده و خرید آنلاین این محصول به لینک زیر مراجعه فرمایید: https://atrmedshop.com/product/antranyl-acid-for-synthesis/ #آنترانیلیک_اسیدبرای_سنتز #اسیدآنترانیلیک #آمینوبنزوئیک_اسید #مرک #فروشگاهATR_MRD #Anthranilic_acid #merck,router_batch+pubchem,verified_telegram_listing,2026-08-25,47d66c9d5ab3cf509b15fbccde19c0157734ec78b4ae9d5d35d658848c7f62cc
3-aminopropanoic acid,Beta-Alanine,,107-95-9,239,UCMIRNVEIXFBKS-UHFFFAOYSA-N,C3H7NO2,89.09,C(CN)C(=O)O,confirmed_organic,supplement_active,,telegram:minatajhiz,Iranian supplier Telegram catalogue,listing_evidence_crawled_2026-08-24,https://t.me/minatajhiz/1020,,ai_normalised_listing+pubchem_confirmed,verified_telegram_listing,2023-05-04,f95a07728bbed989f1e711d795d6a1c2469d65829d2521b5a91fcf43e6fafbad
benzaldehyde,Benzaldehyde,benzaldehyde; Benzaldehyde,100-52-7,240,HUMNYLRZRPPJDN-UHFFFAOYSA-N,C7H6O,106.12,C1=CC=C(C=C1)C=O,confirmed_organic,fragrance_or_aroma,,TamadKala; telegram:ChemIranSanat,Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/164920/%D8%A8%D9%86%D8%B2%D8%A7%D9%84%D8%AF%D8%A6%DB%8C%D8%AF-%D8%A8%D8%B1%D9%86%D8%AF-%D9%84%D9%88%D8%A8%D8%A7-%D9%87%D9%86%D8%AF,بنزالدئید برند لوبا هند | فروش بنزالدهید,router_title_normalization,verified_catalogue,2026-08-23,f349df7f02c14cbfb54126b076cbbac59e92a376cb309ae95fea77266d610396
benzene,benzene,benzene,71-43-2,241,UHOVQNZJYSORNB-UHFFFAOYSA-N,C6H6,78.11,C1=CC=CC=C1,confirmed_organic,organic_reagent,research,TamadKala; Telegram: ChemIranSanat; Telegram: chemgroup; Telegram: minatajhiz; ShimiMan; telegram:ATRmedShop,Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://t.me/ChemIranSanat/1362,benzene | بنزن hplc نوترون | بنزن امرتات شیمی گرید extra pure | ... | فروش بنزن,existing skill export | router_title_normalization,verified_catalogue,2026-08-23,abf87427aae81da93ff3e74513cd5aa9917cd36698927b7ae632da85318931a8
benzoic acid,Benzoic acid,benzoic acid; Benzoic acid,65-85-0,243,WPYMKLBDIGXBTP-UHFFFAOYSA-N,C7H6O2,122.12,C1=CC=C(C=C1)C(=O)O,confirmed_organic,organic_reagent,research,DigiShimi; TamadKala; Telegram: ChemIranSanat; Telegram: jahaneshimicom; Mojallali Group; telegram:chemgroup,Iranian online chemical shops | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://digishimii.ir/Product/%d8%a7%d8%b3%db%8c%d8%af-%d8%a8%d9%86%d8%b2%d9%88%d8%a6%db%8c%da%a9/,benzoic acid | اسید بنزوئیک | بنزوئيك اسيد قطران شیمی | بنزوئیک اسید extra pure نوترون | بنزوئیک اسید lab دکتر مجللی | ...,existing skill export | router_title_normalization,verified_catalogue,2026-08-23,e4fb99b1e0d7495a46e30802ba18fc66e6cb7e4c9fddcd08534432a5bda1dd18
phenylmethanol,Benzyl alcohol,phenylmethanol; Benzyl alcohol,100-51-6,244,WVDDGKGOMKODPV-UHFFFAOYSA-N,C7H8O,108.14,C1=CC=C(C=C1)CO,confirmed_organic,organic_reagent,research,Fardad Shimi; TamadKala; Mojallali Group; ShimiMan,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://fardadshimi.com/product/6199375/,بنزیل الکل extra pure دکتر مجللی | ... | بنزیل الکل دکتر مجللی,router_title_normalization,verified_catalogue,2026-08-23,597530f3442dd4ce900cdb255325210447f0f9fdb18a9febd022fc77a13e9b73
2-(trimethylazaniumyl)acetate,Betaine,2-(trimethylazaniumyl)acetate; Betaine,107-43-7,247,KWIUHFFTVRNATP-UHFFFAOYSA-N,C5H11NO2,117.15,C[N+](C)(C)CC(=O)[O-],confirmed_organic,organic_reagent,industrial,Isatis Shimi; Telegram: jahaneshimicom,Iranian online chemical shops | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://isatisshimi.com/en/product/betaine/,2-(trimethylazaniumyl)acetate | Betaine | بتایین,existing skill export | router_title_normalization,verified_catalogue,2026-08-23,d678aeef4e048f54ca564526e5dd957dd4c04d1b086151559ee65a581bbbebc5
butan-1-ol,Butanol,butan-1-ol; Butanol,71-36-3,263,LRHPLDYGYMQRHN-UHFFFAOYSA-N,C4H10O,74.12,CCCCO,confirmed_organic,organic_reagent,research,Fardad Shimi; TamadKala; Mojallali Group; ShimiMan,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://fardadshimi.com/product/6199290/,1 بوتانول | 1 بوتانول 1051 امرتات شیمی | 1 بوتانول extra pure دکتر مجللی | ... | 1 بوتانول laboratory دکتر مجللی | ... | 1 بوتانول امرتات شیمی گرید for liquid chromatography | 1 بوتانول امرتات شیمی گرید for spectroscopy | 1 بوتانول امرتات شیمی گرید gr for analysis | بوتانول دکتر,router_title_normalization,verified_catalogue,2026-08-23,79394dc29138b7fe7d2fd492546868177cb6210bebd471f2aabb33a0fedb7ebc
butanoic acid,Butyric acid,butanoic acid; Butyric acid,107-92-6,264,FERIUCNNQQJTOY-UHFFFAOYSA-N,C4H8O2,88.11,CCCC(=O)O,confirmed_organic,organic_reagent,,TamadKala,Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/42033/%D8%A8%D9%88%D8%AA%D8%A7%D9%86%D9%88%DB%8C%DB%8C%DA%A9-%D8%A7%D8%B3%DB%8C%D8%AF,بوتانوییک اسید,router_title_normalization,verified_catalogue,2026-08-23,a3dff7a872e3559de4f3d1d0b9f439dfca5020c1f7d6f3d64024e923108209d8
carbon dioxide,CO2,carbon dioxide; CO2; co2,,280,CURLTUGMZLYLDI-UHFFFAOYSA-N,CO2,44.009,C(=O)=O,confirmed_organic,,,telegram:ChemIranSanat; TamadKala,public Telegram (seller_research),product_page_listed_not_current_stock_verified,https://t.me/ChemIranSanat/2025,اتم به اتم با جدول تناوبی  92. اورانیوم  اورانیوم به عنوان سوخت در نیروگاه های هسته ای به کار می رود. چگالی انرژی اورانیوم بسیار زیاد است، یک کیلوگرم اورانیوم به اندازه 1.5 میلیون کیلوگرم زغال سنگ انرژی تولید می کند. همچنین CO2 که زغال سنگ ایجاد می کند، آزاد…,structured_pubchem,verified_telegram_listing,2026-08-25,d74c0160fe4a73d2576096b8fbf87eb82bf9f604f6de6c4b28dfd0dad75f31ec
formic acid,formic acid,formic acid; Formic Acid,64-18-6,284,BDAGIHXWWSANSR-UHFFFAOYSA-N,CH2O2,46.025,C(=O)O,confirmed_organic,organic_reagent,research,DigiShimi; Fardad Shimi; Isatis Shimi; TamadKala; Mojallali Group; ShimiMan,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://digishimii.ir/Product/%d8%a7%d8%b3%db%8c%d8%af-%d9%81%d8%b1%d9%85%db%8c%da%a9/,85% formic acid | Formic Acid 85% | اسید فرمیک | اسید فرمیک 85 درصد | اسید فرمیک laboratory دکتر مجللی | اسید فرمیک دکتر مجللی | اسید فرمیک صنعتی | ...,router_title_normalization,verified_catalogue,2026-08-23,7cb4ada6e0be0ada6e02848e39ebce4e331163bd558e12ce2d81f7f3ecb03cbf
methane,methane,methane,74-82-8,297,VNWKTOKETHGBQD-UHFFFAOYSA-N,CH4,16.043,,confirmed_organic,organic_reagent,research,DigiShimi; Telegram: ChemIranSanat; telegram:ChemIranSanat,Iranian online chemical shops | Iranian supplier Telegram catalogue | telegram:ChemIranSanat,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://digishimii.ir/Product/دوده/,methane | دوده | کربن اکتیو | کربن اکتیو,existing skill export | router_title_normalization | cid_reverified_pubchem_2026-08-24 | structured_pubchem,verified_catalogue | verified_telegram_listing,2026-08-23,ba041ae8fccfff1e26cb7a56a5a6e52dd5e74c0d14ca9d3108078f8ce1389af7
"2-hydroxypropane-1,2,3-tricarboxylic acid",Citric acid,"2-hydroxypropane-1,2,3-tricarboxylic acid; Citric acid; citric acid",77-92-9,311,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C6H8O7,192.12,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,confirmed_organic,organic_reagent,research,TamadKala; Telegram: Ch_Chemical_leaders; Telegram: chemgroup; Telegram: minatajhiz; DigiShimi; Isatis Shimi; Mojallali Group; ShimiMan; IR Chem / Pishgaman; telegram:labshop,Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://t.me/Ch_Chemical_leaders/51,"2-hydroxypropane-1,2,3-tricarboxylic acid | اسید سیتریک acs دکتر مجللی | اسید سیتریک خشک صنعتی | سيتريك اسيد قطران شیمی | فروش اسید سیتریک",existing skill export | router_title_normalization,verified_catalogue,2026-08-23,7f686ba5a048a25099300ea0b9c632fd6cf11af34268bb27e7f7457748e76dd1
chromen-2-one,Coumarin,chromen-2-one; Coumarin,,323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,C9H6O2,146.14,C1=CC=C2C(=C1)C=CC(=O)O2,confirmed_organic,fragrance_or_aroma,,telegram:minatajhiz,Iranian supplier Telegram catalogue,listing_evidence_crawled_2026-08-24,https://t.me/minatajhiz/1028,کومارین Coumarin کد محصول مرک: 822316 واردات جدید مرک,ai_normalised_listing+pubchem_confirmed,verified_telegram_listing,2023-05-20,f7d64af338e560afbceb42a55b399a32bea9c8ffe07ebf2cb288d1c23a83557b
4-propan-2-ylbenzaldehyde,4-propan-2-ylbenzaldehyde,,122-03-2,326,WTWBUQJHJGUZCY-UHFFFAOYSA-N,C10H12O,148.20,CC(C)C1=CC=C(C=C1)C=O,confirmed_organic,,,telegram:ChemIranSanat,public Telegram (seller_research),product_page_listed_not_current_stock_verified,https://t.me/ChemIranSanat/1735,"4-Isopropylbenzaldehyde | بنزالدهید و مشتقات مختلف آن از کمپانی اکروس 10522 Benzaldehyde 250ml 15603 3-Ethoxy-4-hydroxybenzaldehyde 100g 15044 4-Chlorobenzaldehyde 250g 18351 2,3-Dihydroxybenzaldehyde 5g 16277 4-Hydroxybenzaldehyde 50g 33488 4-Isopropylbenzaldehyde 100g 15458 4-Carboxybenzaldehyde 5g 17364 2,4-Dihydroxybenzaldehyde 25g 15699 4-Nitrobenzaldehyde 25g 10665 2-Bromobenzaldehyde 10ml 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی 📱 دریافت قیمت یا سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemI",router_batch+pubchem,verified_telegram_listing,2026-08-25,5b471c613e566d0bbcff60aaa216db117d0327ba6206ec3bfd798ccb690577e5
2-hydroxybenzoic acid,salicylic acid,2-hydroxybenzoic acid; salicylic acid,69-72-7,338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,C7H6O3,138.12,C1=CC=C(C(=C1)C(=O)O)O,confirmed_organic,organic_reagent,research,Fardad Shimi; TamadKala; Mojallali Group; ShimiMan,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://fardadshimi.com/product/6197522/,اسید سالیسیلیک extra pure دکتر مجللی 1 | اسید سالیسیلیک extra pure دکتر مجللی 2 | ... | اسید سالیسیلیک برند dyc چین | ... | سالیسیلیک اسید | سالیسیلیک اسید MERCK | سالیسیلیک اسید قطران شیمی,router_title_normalization,verified_catalogue,2026-08-23,7afee07dd0d14e2ccf48e64fabb9ca52c32fb812b3d5df303d73dfcd617cf25e
3-methylphenol,Metacresol,3-methylphenol; Metacresol,,342,RLSSMJSEOOYNOY-UHFFFAOYSA-N,C7H8O,108.14,CC1=CC(=CC=C1)O,confirmed_organic,organic_reagent,,TamadKala,Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/149090/%D9%85%D8%AA%D8%A7%DA%A9%D8%B1%D9%88%D8%B2%D9%88%D9%84,متاکروزول,router_title_normalization,verified_catalogue,2026-08-23,3d62961e0861cd68272c5120e8d0f16ea9f546b050ce9753eaee68410df4921b
octane,n-Octane,octane; n-Octane,111-65-9,356,TVMXDCGIABBOFY-UHFFFAOYSA-N,C8H18,114.23,CCCCCCCC,confirmed_organic,organic_reagent,research,Fardad Shimi; TamadKala; Mojallali Group; ShimiMan,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://fardadshimi.com/product/6199238/,ان اکتان laboratory دکتر مجللی | ... | ان اکتان دکتر مجللی,router_title_normalization,verified_catalogue,2026-08-23,947ec01907a8162d515f95b9e855304c4816fd3498607bfb4a1c8c3e55f7ac76
"3,4,5-trihydroxybenzoic acid",Gallic acid,"3,4,5-trihydroxybenzoic acid; Gallic acid",149-91-7,370,LNTHITQWFMADLM-UHFFFAOYSA-N,C7H6O5,170.12,C1=C(C=C(C(=C1O)O)O)C(=O)O,confirmed_organic,secondary_metabolite_or_natural_product,research,TamadKala,Iranian online research/chemical shop | Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/90739/%DA%AF%D8%A7%D9%84%DB%8C%DA%A9-%D8%A7%D8%B3%DB%8C%D8%AF-%D8%B3%DB%8C%DA%AF%D9%85%D8%A7,گالیک اسید | ... | گالیک اسید سیگما,explicit_category_supplement | router_title_normalization,verified_catalogue,2026-08-23,e0751445902efd0ad39e75a264eb0c15e5de51ea16dd6c98befd644d190d17a9
octanoic acid,Octanoic Acid,octanoic acid; Octanoic Acid; Octanoic acid,,379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,C8H16O2,144.21,CCCCCCCC(=O)O,confirmed_organic,organic_reagent,research,Telegram: minatajhiz,Iranian supplier Telegram catalogue,listed_not_current_stock_verified,https://t.me/minatajhiz/1065,octanoic acid,existing skill export,verified_catalogue,2026-08-23,bccd860b8a7a7807c1a2cdb499419d49ef6ee592db998c732c5cb80f5406eda2
4-aminophenol,4-Aminophenol,4-aminophenol; 4-Aminophenol,123-30-8,403,PLIKAWJENQZMHA-UHFFFAOYSA-N,C6H7NO,109.13,C1=CC(=CC=C1N)O,confirmed_organic,pharmaceutical_or_api,research,BehChin Chemi Pharmed; TamadKala,Iranian online wholesale/lab shop | Iranian supplier API/intermediate catalogue,product_page_listed_not_current_stock_verified | supplier_catalogue_listed_not_current_stock_verified,https://tamadkala.com/product/156142/4-%D8%A2%D9%85%DB%8C%D9%86%D9%88-%D9%81%D9%86%D9%88%D9%84-%D8%A7%D9%85%D8%B1%D8%AA%D8%A7%D8%AA-%D8%B4%DB%8C%D9%85%DB%8C-%DA%AF%D8%B1%DB%8C%D8%AF-for-synthesis,4 آمینو فنول امرتات شیمی گرید for synthesis | 4-Aminophenol,router_title_normalization | supplier_table,verified_catalogue,2026-08-23,58e9f5061d83cab6f6a7239e82fe77fa42607b6f3d1d8046499fcecbcf5a11ad
