"# export_metadata: {""exported_at"":""2026-08-23T12:30:45+00:00"",""skill"":""iran-chem-database@2.14.1"",""scope"":""Expanded BEST-EFFORT index of distinct confirmed-organic molecules appearing in public Iranian supplier/retailer catalogues and public supplier API/intermediate lists. Not a complete national market census and not a current-stock guarantee."",""rows"":480,""previous_verified_rows"":207,""new_source_records_before_dedup"":1616,""new_source_records_after_chemistry_filter"":948,""source_sets"":{""TamadKala"":""3484 product URLs from product sitemaps; title normalization via router; PubChem validation"",""Fardad Shimi"":""569 product pages from paginated shop listings; title normalization via router"",""DigiShimi"":""268 public WooCommerce products"",""Isatis Shimi"":""188 public WooCommerce products"",""BehChin Chemi Pharmed"":""public human/veterinary API, intermediate, excipient, cosmetic, food-additive lists"",""Pishgaman Shimi (IR Chem)"":""public pharmaceutical/cosmetic/raw-material category product pages"",""ShimiMan"":""public product sitemap titles"",""existing_skill_catalogue"":""207 rows from live-verified Iranian Telegram channels, retained and supplier-labeled"",""Rooz Darou"":""114 public Iranian pharmaceutical product pages; title-mapped and PubChem validated""},""router_assistance"":""router.py was used for Persian/English product-title normalization and category extraction; every admitted new record was independently structure/formula checked via PubChem."",""third_party_relay"":""r.jina.ai was used to retrieve public TamadKala/Fardad Shimi sitemaps or listing pages when direct requests timed out; original direct supplier URLs are retained, and no private data was sent."",""discovered_but_not_admitted"":""Arzan Azma and E-Az were identified as Iranian online lab shops but were not added without a reliable structured product export; their generic/category pages are not molecule-level evidence."",""supplier_column"":""supplier_name is the distinct supplier/retailer field; supplier_platform and supplier_country_evidence preserve context."",""limitations"":""Foreign brands listed by Iranian retailers are product metadata, not evidence that the supplier is foreign. Product page presence is not proof of stock. Mixtures, polymers, equipment, inorganic and unresolved records were excluded."",""filter_stats"":{""not_confirmed_organic"":668},""additional_expansion"":""Rooz Darou pharmaceutical catalogue added; duplicate actives merged and supplier provenance appended.""}"
molecule_name,common_name,cas_number,pubchem_cid,inchi_key,molecular_formula,molecular_weight,canonical_smiles,organic_status,category,research_grade_candidate,research_grade_signal,supplier_name,supplier_platform,supplier_country_evidence,catalogue_presence,availability_status,source_product_titles,source_urls,identity_methods,evidence_record_count
"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;hydrate",Lactose monohydrate,64044-51-5,104938,WSVLPVUVIUVCRA-KPKNDVKVSA-N,C12H24O12,360.31,,confirmed_organic,organic_reagent,yes,lab,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,لاکتوز 1 آبه lab دکتر مجللی,https://tamadkala.com/product/173201/%D9%84%D8%A7%DA%A9%D8%AA%D9%88%D8%B2-1-%D8%A2%D8%A8%D9%87-lab-%D8%AF%DA%A9%D8%AA%D8%B1-%D9%85%D8%AC%D9%84%D9%84%DB%8C,router_title_normalization,1
"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",Sucrose,57-50-1,5988,CZMRCDWAGMRECN-UGDNZRGBSA-N,C12H22O11,342.30,,confirmed_organic,organic_reagent,not_stated,True | industrial,DigiShimi | Fardad Shimi | TamadKala | Telegram: jahaneshimicom,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,site shows Iranian online shop | site shows Iranian online shops | site shows Iranian shop and nationwide delivery | skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol | ساکارز MERCK | ساکارز برند dyc چین | ... | ساکارز نوترون | ساکاروز | ساکاروز قطران شیمی",https://digishimii.ir/Product/%d8%b3%d8%a7%da%a9%d8%a7%d8%b1%d9%88%d8%b2/ | https://fardadshimi.com/product/6195800/ | https://tamadkala.com/product/72558/%D8%B3%D8%A7%DA%A9%D8%A7%D8%B1%D9%88%D8%B2-%D9%82%D8%B7%D8%B1%D8%A7%D9%86-%D8%B4%DB%8C%D9%85%DB%8C | https://tamadkala.com/product/97635/%D8%B3%D8%A7%DA%A9%D8%A7%D8%B1%D8%B2-%D9%86%D9%88%D8%AA%D8%B1%D9%88%D9%86,existing skill export | router_title_normalization,6
"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal;hydrate",glucose monohydrate,,22814120,SPFMQWBKVUQXJV-BTVCFUMJSA-N,C6H14O7,198.17,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,گلوکز 1 آبه | ...,,router_title_normalization,1
"(2R,4S)-pentane-1,2,3,4,5-pentol",Xylitol,87-99-0,6912,HEBKCHPVOIAQTA-NGQZWQHPSA-N,C5H12O5,152.15,,confirmed_organic,organic_reagent,not_stated,industrial,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,زایلیتول صنعتی,https://tamadkala.com/product/163060/%D8%B2%D8%A7%DB%8C%D9%84%DB%8C%D8%AA%D9%88%D9%84-%D8%B5%D9%86%D8%B9%D8%AA%DB%8C,router_title_normalization,1
"(2S)-2,4-diamino-4-oxobutanoic acid;hydrate",L-Asparagine monohydrate,5794-13-8,170358,RBMGJIZCEWRQES-DKWTVANSSA-N,C4H10N2O4,150.13,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,ال آسپارژین مونوهیدارت,https://tamadkala.com/product/16846/%D8%A7%D9%84-%D8%A2%D8%B3%D9%BE%D8%A7%D8%B1%DA%98%DB%8C%D9%86-%D9%85%D9%88%D9%86%D9%88%D9%87%DB%8C%D8%AF%D8%A7%D8%B1%D8%AA,router_title_normalization,1
"(2S)-2,5-diamino-5-oxopentanoic acid",L-Glutamine,56-85-9,5961,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C5H10N2O3,146.14,,confirmed_organic,organic_reagent,yes,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,آمینو اسید محلول ال گلوتامین g7513 | ال گلوتامین bioultra,https://tamadkala.com/product/16832/%D8%A2%D9%85%DB%8C%D9%86%D9%88-%D8%A7%D8%B3%DB%8C%D8%AF-%D9%85%D8%AD%D9%84%D9%88%D9%84-%D8%A7%D9%84-%DA%AF%D9%84%D9%88%D8%AA%D8%A7%D9%85%DB%8C%D9%86-g7513 | https://tamadkala.com/product/16838/%D8%A7%D9%84-%DA%AF%D9%84%D9%88%D8%AA%D8%A7%D9%85%DB%8C%D9%86-bioultra,router_title_normalization,2
"(2S)-2,6-diaminohexanoic acid",L-Lysine,56-87-1,5962,KDXKERNSBIXSRK-YFKPBYRVSA-N,C6H14N2O2,146.19,,confirmed_organic,organic_reagent,not_stated,l9037,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,آمینو اسید ال لیزین مونوهیدرات l9037 | ال لوسین برند dyc چین | ال لیزین,https://tamadkala.com/product/164568/%D8%A7%D9%84-%D9%84%D9%88%D8%B3%DB%8C%D9%86-%D8%A8%D8%B1%D9%86%D8%AF-dyc-%DA%86%DB%8C%D9%86 | https://tamadkala.com/product/16660/%D8%A7%D9%84-%D9%84%DB%8C%D8%B2%DB%8C%D9%86 | https://tamadkala.com/product/17363/%D8%A2%D9%85%DB%8C%D9%86%D9%88-%D8%A7%D8%B3%DB%8C%D8%AF-%D8%A7%D9%84-%D9%84%DB%8C%D8%B2%DB%8C%D9%86-%D9%85%D9%88%D9%86%D9%88%D9%87%DB%8C%D8%AF%D8%B1%D8%A7%D8%AA-l9037,router_title_normalization,3
(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,L-Histidine,71-00-1,6274,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2,155.15,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,اسید آمینه ال هیستیدین,https://tamadkala.com/product/16853/%D8%A7%D8%B3%DB%8C%D8%AF-%D8%A2%D9%85%DB%8C%D9%86%D9%87-%D8%A7%D9%84-%D9%87%DB%8C%D8%B3%D8%AA%DB%8C%D8%AF%DB%8C%D9%86,router_title_normalization,1
(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,Tryptophan,73-22-3,6305,QIVBCDIJIAJPQS-VIFPVBQESA-N,C11H12N2O2,204.22,,confirmed_organic,organic_reagent,yes,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,آمینو اسید ال تریپتوفان bioultra | تریپتوفان,https://tamadkala.com/product/17051/%D8%A2%D9%85%DB%8C%D9%86%D9%88-%D8%A7%D8%B3%DB%8C%D8%AF-%D8%A7%D9%84-%D8%AA%D8%B1%DB%8C%D9%BE%D8%AA%D9%88%D9%81%D8%A7%D9%86-bioultra | https://tamadkala.com/product/17053/%D8%AA%D8%B1%DB%8C%D9%BE%D8%AA%D9%88%D9%81%D8%A7%D9%86,router_title_normalization,2
(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,L-Tyrosine,721-10-6,6057,OUYCCCASQSFEME-QMMMGPOBSA-N,C9H11NO3,181.19,,confirmed_organic,organic_reagent,yes,MERCK,Fardad Shimi | TamadKala,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,site shows Iranian online shop | site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,آمینو اسید ال تیروزین | آمینو اسید ال تیروزین bioultra | ال تیروزین MERCK | ...,https://tamadkala.com/product/16908/%D8%A2%D9%85%DB%8C%D9%86%D9%88-%D8%A7%D8%B3%DB%8C%D8%AF-%D8%A7%D9%84-%D8%AA%DB%8C%D8%B1%D9%88%D8%B2%DB%8C%D9%86 | https://tamadkala.com/product/16944/%D8%A2%D9%85%DB%8C%D9%86%D9%88-%D8%A7%D8%B3%DB%8C%D8%AF-%D8%A7%D9%84-%D8%AA%DB%8C%D8%B1%D9%88%D8%B2%DB%8C%D9%86-bioultra,router_title_normalization,3
(2S)-2-amino-3-hydroxypropanoic acid,Serine,56-45-1,5951,MTCFGRXMJLQNBG-REOHCLBHSA-N,C3H7NO3,105.09,,confirmed_organic,organic_reagent,yes,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,ال سرین bioultra | سرین,https://tamadkala.com/product/16885/%D8%A7%D9%84-%D8%B3%D8%B1%DB%8C%D9%86-bioultra | https://tamadkala.com/product/16888/%D8%B3%D8%B1%DB%8C%D9%86,router_title_normalization,2
(2S)-2-amino-3-methylbutanoic acid,L-Valine,72-18-4,6287,KZSNJWFQEVHDMF-BYPYZUCNSA-N,C5H11NO2,117.15,,confirmed_organic,organic_reagent,yes,bioultra 94619,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,ال والین | ال والین bioultra 94619,https://tamadkala.com/product/17310/%D8%A7%D9%84-%D9%88%D8%A7%D9%84%DB%8C%D9%86 | https://tamadkala.com/product/17312/%D8%A7%D9%84-%D9%88%D8%A7%D9%84%DB%8C%D9%86-bioultra-94619,router_title_normalization,2
(2S)-2-amino-3-phenylpropanoic acid,L-Phenylalanine,63-91-2,6140,COLNVLDHVKWLRT-QMMMGPOBSA-N,C9H11NO2,165.19,,confirmed_organic,organic_reagent,yes,bioultra | p5482,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,ال فنیل آلانین bioultra | ال فنیل آلانین p5482,https://tamadkala.com/product/17323/%D8%A7%D9%84-%D9%81%D9%86%DB%8C%D9%84-%D8%A2%D9%84%D8%A7%D9%86%DB%8C%D9%86-p5482 | https://tamadkala.com/product/17325/%D8%A7%D9%84-%D9%81%D9%86%DB%8C%D9%84-%D8%A2%D9%84%D8%A7%D9%86%DB%8C%D9%86-bioultra,router_title_normalization,2
(2S)-2-amino-4-methylpentanoic acid,L-Leucine,61-90-5,6106,ROHFNLRQFUQHCH-YFKPBYRVSA-N,C6H13NO2,131.17,,confirmed_organic,organic_reagent,yes,bioultra | l8912,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,ال لوسین l8912 | ال لوسین61819 bioultra,https://tamadkala.com/product/17068/%D8%A7%D9%84-%D9%84%D9%88%D8%B3%DB%8C%D9%86-l8912 | https://tamadkala.com/product/17072/%D8%A7%D9%84-%D9%84%D9%88%D8%B3%DB%8C%D9%8661819-bioultra,router_title_normalization,2
(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,L-Arginine,74-79-3,6322,ODKSFYDXXFIFQN-BYPYZUCNSA-N,C6H14N4O2,174.20,,confirmed_organic,organic_reagent,not_stated,,Rooz Darou | TamadKala,Iranian online wholesale/lab shop | Iranian pharmaceutical product catalogue,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,ال آرژنین | قرص ال-آرژنین 1000mg رزاویت,https://tamadkala.com/product/16656/%D8%A7%D9%84-%D8%A2%D8%B1%DA%98%D9%86%DB%8C%D9%86 | http://rouzdarou.com/products/%D9%82%D8%B1%D8%B5-%D8%A7%D9%84-%D8%A2%D8%B1%DA%98%D9%86%DB%8C%D9%86-1000mg-%D8%B1%D8%B2%D8%A7%D9%88%DB%8C%D8%AA,router_title_normalization,1
(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,Glutathione,,124886,RWSXRVCMGQZWBV-WDSKDSINSA-N,C10H17N3O6S,307.33,,confirmed_organic,organic_reagent,yes,research,Telegram: ChemIranSanat,Iranian supplier Telegram catalogue,skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,https://t.me/ChemIranSanat/1202,existing skill export,2
(2S)-2-aminopentanedioic acid,Glutamic acid,56-84-8,33032,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4,133.10,,confirmed_organic,organic_reagent,yes,research,TamadKala | Telegram: ChemIranSanat,Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,site shows Iranian online shop | skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,(2S)-2-aminobutanedioic acid | آمینو اسید دی آسپارتیک اسید | آمینو اسید دی گلوتامیک اسید | اسید گلوتامیک | ال آسپارتیک اسید | گلوتامیک اسید,https://t.me/ChemIranSanat/1983 | https://tamadkala.com/product/16677/%D8%A7%D9%84-%D8%A2%D8%B3%D9%BE%D8%A7%D8%B1%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%DB%8C%D8%AF | https://tamadkala.com/product/16829/%DA%AF%D9%84%D9%88%D8%AA%D8%A7%D9%85%DB%8C%DA%A9-%D8%A7%D8%B3%DB%8C%D8%AF | https://tamadkala.com/product/67569/%D8%A2%D9%85%DB%8C%D9%86%D9%88-%D8%A7%D8%B3%DB%8C%D8%AF-%D8%AF%DB%8C-%D8%A2%D8%B3%D9%BE%D8%A7%D8%B1%D8%AA%DB%8C%DA%A9-%D8%A7%D8%B3%DB%8C%D8%AF | https://tamadkala.com/product/67700/%D8%A2%D9%85%DB%8C%D9%86%D9%88-%D8%A7%D8%B3%DB%8C%D8%AF-%D8%AF%DB%8C-%DA%AF%D9%84%D9%88%D8%AA%D8%A7%D9%85%DB%8C%DA%A9-%D8%A7%D8%B3%DB%8C%D8%AF | https://tamadkala.com/product/9706/%D8%A7%D8%B3%DB%8C%D8%AF-%DA%AF%D9%84%D9%88%D8%AA%D8%A7%D9%85%DB%8C%DA%A9,existing skill export | router_title_normalization,7
(2S)-2-aminopropanoic acid,Alanine,56-41-7,5950,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C3H7NO2,89.09,,confirmed_organic,organic_reagent,yes,bioultra,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,آلانین | اسید آمینه ال آلانین | ال آلانین bioultra,https://tamadkala.com/product/17055/%D8%A7%D8%B3%DB%8C%D8%AF-%D8%A2%D9%85%DB%8C%D9%86%D9%87-%D8%A7%D9%84-%D8%A2%D9%84%D8%A7%D9%86%DB%8C%D9%86 | https://tamadkala.com/product/17058/%D8%A7%D9%84-%D8%A2%D9%84%D8%A7%D9%86%DB%8C%D9%86-bioultra | https://tamadkala.com/product/17060/%D8%A2%D9%84%D8%A7%D9%86%DB%8C%D9%86,router_title_normalization,3
