"# export_metadata: {""exported_at"": ""2026-08-23T03:30:25Z"", ""skill"": ""iran-chem-database@2.13.0 (clawhub: @orionshaowswmw/iran-chem-database)"", ""scope"": ""BEST-EFFORT dated index of organic molecules offered by verified IRANIAN suppliers (public Telegram channels + public supplier web catalogs), crawled 2026-08-23 from a foreign datacenter. NOT a claim of national completeness; coverage per source is in coverage_report.json."", ""rows"": 74, ""organic_rows"": 0, ""unknown_organic_rows"": 0, ""unique_molecules"": 74, ""ai_assisted_identities"": 194, ""channel_verification"": {""merckmillipore"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""labshop"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""minatajhiz"": {""verified"": true, ""country"": ""IR"", ""score"": 65, ""families"": [""domain"", ""language"", ""location""], ""level"": ""offline""}, ""ChemIranSanat"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""Maran_Tejarat_Eshen"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""jahaneshimicom"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""Ch_Chemical_leaders"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""Boof_company"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""fanchem"": {""verified"": true, ""country"": ""IR"", ""score"": 85, ""families"": [""domain"", ""language"", ""phone""], ""level"": ""offline""}, ""IranChemicals"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""chemgroup"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""LabTel"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}}, ""notes"": ""identity_method: alias=curated dictionary, cas_only(+pubchem), structured_alias/structured_pubchem=skill shape extractor, ai_resolved+=cloud model (router.py) + PubChem check. organic_status=unknown rows are unresolved records, kept per skill mandate, never silently discarded.""}"
molecule,cas,pubchem_cid,inchi_key,formula,molecular_weight,canonical_smiles,common_name,iupac_name,organic_status,identity_method,kind,grade,brand,sku,purity_percent,pack_size,availability,price,n_suppliers,suppliers,n_source_records,source_urls,date_range,text_evidence
zinc nitrate,7779-88-6,24518,ONDPHDOFVYQSGI-UHFFFAOYSA-N,N2O6Zn,,,zinc nitrate,,inorganic,alias+pubchem,substance,research,,,,,in_stock,,1,telegram:ChemIranSanat,1,,,نیترات روی شش آبه بلورین 99% 500 گرم، کاتالوگ نامبر: 12313 کمپانی آلفا ایسر بریتانیا موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ❓ قیمت و سفارش 👇 Admin 🆔 @ChemIranAdmin 🆔 @ChemIran1
dipotassium;hexachloroplatinum(2-),,61856,DPAIVKJGTXERIM-UHFFFAOYSA-H,Cl6K2Pt,,,Potassium hexachloroplatinate(IV),,inorganic,structured_pubchem,substance,research,Sigma-Aldrich,520861,,value=1.0 unit=g normalised_value=1.0 normalised_unit=g raw=1G,in_stock,,1,telegram:ChemIranSanat,1,,,520861 Aldrich 1G Potassium hexachloroplatinate(IV) ≥99.9% trace metals basis موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ❓ قیمت و سفارش 👇 Admin 🆔 @ChemIranAdmin 🆔 @ChemIran1
hydrazine;hydrate,,24654,IKDUDTNKRLTJSI-UHFFFAOYSA-N,H6N2O,,,Hydrazine hydrate (1:1),,inorganic,structured_pubchem,substance,research,Merck,804608,,value=250.0 unit=ml normalised_value=250.0 normalised_unit=ml raw=250ml,in_stock,,1,telegram:ChemIranSanat,1,,,804608 Merck Hydrazinium hydroxide 250ml موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ❓ درخواست قیمت یا سفارش کالا 👇 ADMIN 🆔 @ChemIranAdmin 🆔 @ChemIran1
aluminum trichloride,,6451240,VSCWAEJMTAWNJL-UHFFFAOYSA-K,AlCl3,,,Aluminum(III) Chloride,,inorganic,structured_pubchem,substance,research,Merck,801081,,value=1.0 unit=kg normalised_value=1000.0 normalised_unit=g raw=1kg,in_stock,,1,telegram:ChemIranSanat,1,,,801081 Merck Aluminium chloride anhydrous 1kg و 294713 Sigma-Aldrich Aluminum chloride 99.99% trace metals basis 100g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی 📱 دریافت قیمت یا سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1
Selenium tetrachloride,,66205,LNBXMNQCXXEHFT-UHFFFAOYSA-N,Cl4Se,,,Selenium tetrachloride,,inorganic,structured_pubchem,substance,research,Sigma-Aldrich,323527,,value=10.0 unit=g normalised_value=10.0 normalised_unit=g raw=10G,in_stock,,1,telegram:ChemIranSanat,1,,,323527 Aldrich Selenium tetrachloride 10G 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی 📱 سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1
hydrochloric acid,7647-01-0,313,VEXZGXHMUGYJMC-UHFFFAOYSA-N,ClH,,,hydrochloric acid,,inorganic,alias+pubchem,substance,research,,,,value=2.5 unit=l normalised_value=2500.0 normalised_unit=ml raw=2.5L,in_stock,,1,telegram:ChemIranSanat,1,,,فروش ویژه مهر Korean solvents price(T): 1- Ethanol (absolute ) --- 2.5L@235.000 2- 2-Propanol --- 2.5L@260.000 3- Methanol --- 2.5L@200.000 4- Acetone --- 2.5L@235.000 5- Tetrahydrofuran --- 2.5L@375.000 6- n-Hexane --- 2.5L@250.000 7- Chloroform --- 2.5L@260.000 8- Dichloromethane --- 2.5L@275.000
lithium chloride,,433294,KWGKDLIKAYFUFQ-UHFFFAOYSA-M,ClLi,,,lithium chloride,,inorganic,structured_pubchem,substance,research,Exir,053520,,value=500.0 unit=g normalised_value=500.0 normalised_unit=g raw=500g,in_stock,,1,telegram:ChemIranSanat,1,,,"053520 Exir Lithium chloride, >99% 500g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📦 ارسال رایگان 📱 سفارش کالا 👇 📞 0938-648-9001 🆔 @ChemIranAdmin 🆔 @ChemIran1"
calcium chloride,10043-52-4,5284359,UXVMQQNJUSDDNG-UHFFFAOYSA-L,CaCl2,,,calcium chloride,,inorganic,alias+pubchem,substance,research,Exir,040300,,value=1.0 unit=kg normalised_value=1000.0 normalised_unit=g raw=1kg,in_stock,,1,telegram:ChemIranSanat,1,,,040300 Exir Calcium chloride dihydrate 1kg 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📦 ارسال رایگان 📱 سفارش کالا 👇 📞 0938-648-9001 🆔 @ChemIranAdmin 🆔 @ChemIran1
cesium bromide,,24592,LYQFWZFBNBDLEO-UHFFFAOYSA-M,BrCs,,,cesium bromide,,inorganic,structured_pubchem,substance,research,Exir,054010,,value=10.0 unit=g normalised_value=10.0 normalised_unit=g raw=10g,in_stock,,1,telegram:ChemIranSanat,1,,,"054010 Exir Cesium bromide, 99% 10g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📦 ارسال رایگان 📱 سفارش کالا 👇 📞 0938-648-9001 🆔 @ChemIranAdmin 🆔 @ChemIran1"
ammonia,7664-41-7,222,QGZKDVFQNNGYKY-UHFFFAOYSA-N,H3N,,,ammonia,,inorganic,alias+pubchem,substance,research,Merck,843075,,value=5.0 unit=g normalised_value=5.0 normalised_unit=g raw=5g,,,3,telegram:ChemIranSanat; telegram:IranChemicals; telegram:chemgroup,5,https://t.me/IranChemicals/30912 | https://t.me/chemgroup/2889 | https://t.me/chemgroup/3333,2017-02-18T14:01:03+00:00<->2017-06-16T13:23:48+00:00,"با درود و احترام، فروش ویژه تا پایان روز چهارشنبه 12 آذر 843075 Merck 4-Nitrophenyl acetate 5g 100337 Merck Hydrofluoric acid, 38-40% 100ml 814393 Merck Glutardialdehyde 25ml ML65334 Moleculab 1,5-Naphthalenediamine 5g 105432 Merck Ammonia solution 25% 250ml قیمت‌ها پس از پایان زمان فروش ویژه، پاک ش"
ammonium sulfate,7783-20-2,6097028,BFNBIHQBYMNNAN-UHFFFAOYSA-N,H8N2O4S,,,ammonium sulfate,,inorganic,alias+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,https://t.me/jahaneshimicom/71,2023-12-21T07:50:57+00:00,📣 فروش *سولفات آمونیوم کریستال* 💯 آماده بارگیری جهت استعلام قیمت تماس بگیرید: ☎️ 02188970262 📱 09120196114 📱 09120185621
magnesium sulfate,7487-88-9,24083,CSNNHWWHGAXBCP-UHFFFAOYSA-L,MgO4S,,,Sulfuric acid magnesium salt (1:1),,inorganic,alias+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,🟡 🔵 🟢 🟣 ⚫️ 🟤 🟡 سولفات روی پودری 34% 🔵 سولفات مس پودری 24% 🟢 سولفات آهن کریستال خشک 20% N 🟣 سولفات پتاسیم پودری 52% ⚫️ سولفات منگنز پودری 33% 🟤 سولفات منیزیم پودری 24% رابو تجارت 📱 09215906828 📱 09215909163 📱 09128199608
silver nitrate,7761-88-8,24470,SQGYOTSLMSWVJD-UHFFFAOYSA-N,AgNO3,,,silver nitrate,,inorganic,alias+pubchem,substance,industrial,,,,value=1.0 unit=کیلو normalised_value=1000.0 normalised_unit=g raw=1 کیلو,,,1,telegram:jahaneshimicom,1,,,سلام نیترات نقره ١ کیلو گرم قیمت؟ 09034715647 ابراهیمی
phosphoric acid,7664-38-2,1004,NBIIXXVUZAFLBC-UHFFFAOYSA-N,H3O4P,,,phosphoric acid,,inorganic,alias+pubchem,substance,industrial,,,,,,,2,telegram:jahaneshimicom; telegram:IranChemicals,2,https://t.me/IranChemicals/29023 | https://t.me/IranChemicals/30670,2025-04-22T10:07:41+00:00<->2025-12-13T20:45:38+00:00,سلام اسید فسفریک دارید؟ 09121694034
ammonium persulfate,7727-54-0,62648,ROOXNKNUYICQNP-UHFFFAOYSA-N,H8N2O8S2,,,ammonium persulfate,,inorganic,alias+pubchem,substance,industrial,,,,value=25.0 unit=کیلو normalised_value=25000.0 normalised_unit=g raw=25 کیلو,,,1,telegram:Boof_company,5,https://t.me/Boof_company/44 | https://t.me/Boof_company/55 | https://t.me/Boof_company/59,2026-02-14T11:20:46+00:00<->2026-02-19T08:33:44+00:00,🔰 محصول آمونیم پرسولفات Ammonium Persulfate (APS) ➖️ نام علمی : Ammonium Persulfate (آمونیم پرسولفات) ➖️ فرمول شیمیایی : (NH₄)₂S₂O₈ ➖️ ماده پایه : اکسید کننده (نمک معدنی) ➖️ برند : آکیم (Akkim) ➖️ کشور : ترکیه (Turkey) ➖️ وزن بسته : 25 کیلو گرم ➖️ کیسه : 1000 کیلو گرم (40 کیسه) ➖️ قیمت : ☎️ جهت مشاو
tetrachlorotitanium,,24193,XJDNKRIXUMDJCW-UHFFFAOYSA-J,Cl4Ti,,,Titanium Tetrachloride,,inorganic,structured_pubchem,substance,unknown,,,,,,,1,telegram:IranChemicals,1,https://t.me/IranChemicals/30195,2025-10-21T10:29:43+00:00,🔴 #صنعت #فرآیند ها #جدول_مندلیف 🟩 استخراج فلز تیتانیوم 🔴 در این ویدیو، به فرآیند جذاب تولید فلز تیتانیوم (Titanium) از سنگ‌های معدنی پرداخته می‌شود. از واکنش تیتانیوم تتراکلوراید (Titanium Tetrachloride) با منیزیم (Magnesium) و سدیم (Sodium) تا تولید اسفنج تیتانیوم (Titanium Sponge) این ویدیو تمام م
nitric acid,7697-37-2,944,GRYLNZFGIOXLOG-UHFFFAOYSA-N,HNO3,,,nitric acid,,inorganic,alias+pubchem,substance,research,,,,,,,1,telegram:IranChemicals,1,,,🔴 #فروش ✅ ملزومات آزمایشگاهی کاملا نو : یک عدد ارلن 1000 uniglass یک عدد ارلن 1000 simax دو عدد بشر 2000 simax یک عدد بشر 600 کاغذ صافی سه لیتر اسید نیتریک دو و نیم لیتر هیدروکلریک اسید مقداری اوره ، متابی سولفیت سدیم ، بوراکس 🔴 تلفن تماس 09134813631
copper sulfate,7758-98-7,24462,ARUVKPQLZAKDPS-UHFFFAOYSA-L,CuO4S,,,copper sulfate,,inorganic,alias+pubchem,substance,unknown,,,,,,,1,telegram:chemgroup,1,,,⚗ محصول واکنش سولفات مس(II) با پتاسیم سولفیت #ارسالی_کاربران @ChemGroup
sodium carbonate,497-19-8,10340,CDBYLPFSWZWCQE-UHFFFAOYSA-L,CNa2O3,105.988,,sodium carbonate,disodium;carbonate,inorganic,alias+pubchem,substance,industrial,,,,value=50.0 unit=kg normalised_value=50000.0 normalised_unit=g raw=50 kg,,0.0 USD,1,Chemical Iran,1,,,"Soda Ash Light. Chemicals, Dyes, Food, Mining &amp; Metallurgy, Oil Gas &amp; Petroleum, Pharmaceuticals, Pulp &amp; Paper, Soaps &amp; Detergents, Textile, Water Treatment. Origin: Iran Packing: 50 kg bags – jumbo bags Minimum Order Quantity : 5 full containers / trucks Payment term: 100% in advanc"
dialuminum;tris(oxygen(2-)),1344-28-1,9989226,PNEYBMLMFCGWSK-UHFFFAOYSA-N,Al2O3,101.961,,Alumina,dialuminum;tris(oxygen(2-)),inorganic,ai_resolved+cas_only+pubchem,substance,research,,,,,,,1,telegram:minatajhiz,1,,,Aluminium oxide 90 active neutral 101077 #merck
aluminum,7429-90-5,5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,Al,26.981538,,aluminum,aluminum,inorganic,ai_resolved+cas_only+pubchem,substance,research,,,,,,,1,telegram:minatajhiz,1,,,"Aluminum, powder RPE - For analysis 1 kg Analytical Grade Analytical Application: RPE - For analysis"
fluorane,7664-39-3,14917,KRHYYFGTRYWZRS-UHFFFAOYSA-N,FH,20.0064,,Hydrofluoric Acid,fluorane,inorganic,ai_resolved+cas_only+pubchem,substance,research,,,,,,,1,telegram:minatajhiz,1,,,نام فارسی: هیدروفلوئوریک اسید (Hf) نام ماده: Hydrofluoric acid 38-40% کد محصول مرک: 100337 شرکت مینا تجهیز آریا وارد کننده کلیه حلال های آزمایشگاهی
cyanide,57-12-5,5975,XFXPMWWXUTWYJX-UHFFFAOYSA-N,CN-,26.017,,cyanide,cyanide,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,شیمی سم سیانید (سیانور) خیلی سریع اکسیژن رسانی را دربدن از طریق تداخل در آنزیم سیتوکروم اکسیداز متوقف و منجر به مرگ میشود. در صورت مسمومیت با سیانور نیتریت ها اثر سیانور را ازبین میبرند 🆔 @ChemIran1
trichloroiron,7705-08-0,24380,RBTARNINKXHZNM-UHFFFAOYSA-K,Cl3Fe,162.2,,Iron chloride (FeCl3),trichloroiron,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,"Alfa Aesar, Cat. Number: 12357 Iron(III) chloride, anhydrous آهن(III) کلرید بدون آب، بلورین موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ❓ قیمت و سفارش 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1"
silicon,7440-21-3,5461123,XUIMIQQOPSSXEZ-UHFFFAOYSA-N,Si,28.085,,silicon,silicon,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,اتم به اتم با جدول تناوبی 14. سیلیکون موجود در خاک و صخره ها و ماسه ماده اولیه انواع شیشه دارای خاصیت روان کنندگی و استفاده در لوازم آرایشی تقریبا تمام لوازم الکترونیکی دارای سیلیکون هستند 🆔 @ChemIran1
ytterbium,7440-64-4,23992,NAWDYIZEMPQZHO-UHFFFAOYSA-N,Yb,173.05,,ytterbium,ytterbium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,"003800 Fluorochem N,N'-Carbonyldiimidazole (CDI) 50g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی 📱 سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1"
rhodium,7440-16-6,23948,MHOVAHRLVXNVSD-UHFFFAOYSA-N,Rh,102.9055,,rhodium,rhodium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,اتم به اتم با جدول تناوبی 45. رودیم رودیم یکی از چند فلز واسطه است که در مبدل های کاتالیزوری خودروهای دیزلی و بنزینی مورد استفاده قرار می گیرد. این مبدل ها به تجزیه ترکیبات آلاینده موجود در دود اگزوز موتور خودرو به ترکیبات کمتر مضر کمک می کنند. سایر فلزات…
radon,10043-92-2,24857,SYUHGPGVQRZVTB-UHFFFAOYSA-N,Rn,222.01758,,radon,radon,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,"در آمریکا قرار گرفتن در معرض گاز رادون سالانه منجر به 21000 مرگ در اثر سرطان ریه می شود. در این کشور، ژانویه، ماه اقدام ملی رادون است و آژانس حفاظت از محیط زیست از مالکان خانه ها می خواهد با آزمایش رادون و برطرف کردن هر مشکلی ""یک زندگی را نجات دهند"". جالب است بدانید فروش خانه هایی که در هوای آن رادو"
rubidium,7440-17-7,5357696,IGLNJRXAVVLDKE-UHFFFAOYSA-N,Rb,85.468,,rubidium,rubidium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:minatajhiz,1,,,"روبیدیم روبیدیوم به انگلیسی: Rubidium با نشانه شیمیایی Rb و عدد اتمی ۳۷ از عنصرهای گروه نخست جدول تناوبی عناصر است. روبیدیم فلزی نرم به رنگ سفید- نقره ای و جزء فلزات قلیایی است .این فلز بسیار واکنش پذیر است و به همین دلیل به صورت غیر ترکیبی در طبیعت یافت نمی شود.این عنصر درسال1861 توسط R. Bunsen, G."
oxidane,7732-18-5,962,XLYOFNOQVPJJNP-UHFFFAOYSA-N,H2O,18.015,,Water,oxidane,inorganic,ai_resolved+cas_only+pubchem,substance,research,,,,,,,1,telegram:minatajhiz; telegram:chemgroup,1,,,⚡️ فروش ویژه Water HPLC کمپانی ریدل آلمان ویژه دانشجویان و مراکز دانشگاهی 2.5لیتری 220000 تومان
aluminum;sodium;bis(dioxido(oxo)silane),69912-79-4,19758701,URGAHOPLAPQHLN-UHFFFAOYSA-N,AlNaO6Si2,202.14,,Molecular sieve,aluminum;sodium;bis(dioxido(oxo)silane),inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,105705 | Molecular sieve 0.5 nm beads ~ 2 mm موجود و آماده تحویل @ChemIranAdmin 🆔 @ChemIran1
methane,7782-42-5,5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,C,12.011,,Carbon,methane,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,مقدار کربن موجود در بدن یک انسان گرافیت مورد نیاز برای ساخت حدودا 9000 مداد را تامین می کند. 🆔 @ChemIran1
radium,7440-14-4,6328144,HCWPIIXVSYCSAN-UHFFFAOYSA-N,Ra,226.02541,,radium,radium,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,دختران رادیوم کارگران زنی بودند که دچار مسمومیت پرتوی به خاطر تماس با رنگ درخشان ساعت‌های مچی شدند. این رنگ کردن توسط زنان در سه کارخانه مختلف در شرکت رادیوم آمریکا انجام می‌شد. به زنان در این مراکز گفته شده بود که این رنگ بی‌ضرر است، و پس از آنکه به آنها دستور داده شد برس رنگ را روی لب خود بکشند تا
aluminum trihydroxide,21645-51-2,10176082,WNROFYMDJYEPJX-UHFFFAOYSA-K,AlH3O3,78.004,,Aluminum Hydroxide,aluminum trihydroxide,inorganic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,سلام آلومینیوم تری هیدروکسید Aptral 40cd کمپانی nabaltec ١٢٠ کیلو موجود دارید؟ 09912472386
