公历日期,农历信息,农历年,农历月,农历日,年干支,月干支,日干支,节气,,,,,,,,,,,
2026/2/27,丙午年正月 十一日 庚寅月 壬申日,丙午年,正月,十一,丙午,庚寅,壬申,,,,,,,,,,,,
2026/2/28,丙午年正月 十二日 庚寅月 癸酉日,丙午年,正月,十二,丙午,庚寅,癸酉,,,,,,,,,,,,
2026/3/1,丙午年正月 十三日 庚寅月 甲戌日,丙午年,正月,十三,丙午,庚寅,甲戌,,,,,,,,,,,,
2026/3/2,丙午年正月 十四日 庚寅月 乙亥日,丙午年,正月,十四,丙午,庚寅,乙亥,,,,,,,,,,,,
2026/3/3,丙午年正月 十五日 庚寅月 丙子日,丙午年,正月,十五,丙午,庚寅,丙子,,,,,,,,,,,,
2026/3/4,丙午年正月 十六日 庚寅月 丁丑日,丙午年,正月,十六,丙午,庚寅,丁丑,,,,,,,,,,,,
2026/3/5,丙午年正月 十七日 辛卯月 戊寅日 惊蛰,丙午年,正月,十七,丙午,辛卯,戊寅,惊蛰,,,,,,,,,,,
2026/3/6,丙午年正月 十八日 辛卯月 己卯日,丙午年,正月,十八,丙午,辛卯,己卯,,,,,,,,,,,,
2026/3/7,丙午年正月 十九日 辛卯月 庚辰日,丙午年,正月,十九,丙午,辛卯,庚辰,,,,,,,,,,,,
2026/3/8,丙午年正月 二十日 辛卯月 辛巳日,丙午年,正月,二十,丙午,辛卯,辛巳,,,,,,,,,,,,
2026/3/9,丙午年正月 廿一日 辛卯月 壬午日,丙午年,正月,廿一,丙午,辛卯,壬午,,,,,,,,,,,,
2026/3/10,丙午年正月 廿二日 辛卯月 癸未日,丙午年,正月,廿二,丙午,辛卯,癸未,,,,,,,,,,,,
2026/3/11,丙午年正月 廿三日 辛卯月 甲申日,丙午年,正月,廿三,丙午,辛卯,甲申,,,,,,,,,,,,
2026/3/12,丙午年正月 廿四日 辛卯月 乙酉日,丙午年,正月,廿四,丙午,辛卯,乙酉,,,,,,,,,,,,
2026/3/13,丙午年正月 廿五日 辛卯月 丙戌日,丙午年,正月,廿五,丙午,辛卯,丙戌,,,,,,,,,,,,
2026/3/14,丙午年正月 廿六日 辛卯月 丁亥日,丙午年,正月,廿六,丙午,辛卯,丁亥,,,,,,,,,,,,
2026/3/15,丙午年正月 廿七日 辛卯月 戊子日,丙午年,正月,廿七,丙午,辛卯,戊子,,,,,,,,,,,,
2026/3/16,丙午年正月 廿八日 辛卯月 己丑日,丙午年,正月,廿八,丙午,辛卯,己丑,,,,,,,,,,,,
2026/3/17,丙午年正月 廿九日 辛卯月 庚寅日,丙午年,正月,廿九,丙午,辛卯,庚寅,,,,,,,,,,,,
2026/3/18,丙午年正月 三十日 辛卯月 辛卯日,丙午年,正月,三十,丙午,辛卯,辛卯,,,,,,,,,,,,
2026/3/19,丙午年二月 初一日 辛卯月 壬辰日,丙午年,二月,初一,丙午,辛卯,壬辰,,,,,,,,,,,,
2026/3/20,丙午年二月 初二日 辛卯月 癸巳日 春分,丙午年,二月,初二,丙午,辛卯,癸巳,春分,,,,,,,,,,,
2026/3/21,丙午年二月 初三日 辛卯月 甲午日,丙午年,二月,初三,丙午,辛卯,甲午,,,,,,,,,,,,
2026/3/22,丙午年二月 初四日 辛卯月 乙未日,丙午年,二月,初四,丙午,辛卯,乙未,,,,,,,,,,,,
2026/3/23,丙午年二月 初五日 辛卯月 丙申日,丙午年,二月,初五,丙午,辛卯,丙申,,,,,,,,,,,,
2026/3/24,丙午年二月 初六日 辛卯月 丁酉日,丙午年,二月,初六,丙午,辛卯,丁酉,,,,,,,,,,,,
2026/3/25,丙午年二月 初七日 辛卯月 戊戌日,丙午年,二月,初七,丙午,辛卯,戊戌,,,,,,,,,,,,
2026/3/26,丙午年二月 初八日 辛卯月 己亥日,丙午年,二月,初八,丙午,辛卯,己亥,,,,,,,,,,,,
2026/3/27,丙午年二月 初九日 辛卯月 庚子日,丙午年,二月,初九,丙午,辛卯,庚子,,,,,,,,,,,,
2026/3/28,丙午年二月 初十日 辛卯月 辛丑日,丙午年,二月,初十,丙午,辛卯,辛丑,,,,,,,,,,,,
2026/3/29,丙午年二月 十一日 辛卯月 壬寅日,丙午年,二月,十一,丙午,辛卯,壬寅,,,,,,,,,,,,
2026/3/30,丙午年二月 十二日 辛卯月 癸卯日,丙午年,二月,十二,丙午,辛卯,癸卯,,,,,,,,,,,,
2026/3/31,丙午年二月 十三日 辛卯月 甲辰日,丙午年,二月,十三,丙午,辛卯,甲辰,,,,,,,,,,,,
2026/4/1,丙午年二月 十四日 辛卯月 乙巳日,丙午年,二月,十四,丙午,辛卯,乙巳,,,,,,,,,,,,
2026/4/2,丙午年二月 十五日 辛卯月 丙午日,丙午年,二月,十五,丙午,辛卯,丙午,,,,,,,,,,,,
2026/4/3,丙午年二月 十六日 辛卯月 丁未日,丙午年,二月,十六,丙午,辛卯,丁未,,,,,,,,,,,,
2026/4/4,丙午年二月 十七日 辛卯月 戊申日,丙午年,二月,十七,丙午,辛卯,戊申,,,,,,,,,,,,
2026/4/5,丙午年二月 十八日 壬辰月 己酉日 清明,丙午年,二月,十八,丙午,壬辰,己酉,清明,,,,,,,,,,,
2026/4/6,丙午年二月 十九日 壬辰月 庚戌日,丙午年,二月,十九,丙午,壬辰,庚戌,,,,,,,,,,,,
2026/4/7,丙午年二月 二十日 壬辰月 辛亥日,丙午年,二月,二十,丙午,壬辰,辛亥,,,,,,,,,,,,
2026/4/8,丙午年二月 廿一日 壬辰月 壬子日,丙午年,二月,廿一,丙午,壬辰,壬子,,,,,,,,,,,,
2026/4/9,丙午年二月 廿二日 壬辰月 癸丑日,丙午年,二月,廿二,丙午,壬辰,癸丑,,,,,,,,,,,,
2026/4/10,丙午年二月 廿三日 壬辰月 甲寅日,丙午年,二月,廿三,丙午,壬辰,甲寅,,,,,,,,,,,,
2026/4/11,丙午年二月 廿四日 壬辰月 乙卯日,丙午年,二月,廿四,丙午,壬辰,乙卯,,,,,,,,,,,,
2026/4/12,丙午年二月 廿五日 壬辰月 丙辰日,丙午年,二月,廿五,丙午,壬辰,丙辰,,,,,,,,,,,,
2026/4/13,丙午年二月 廿六日 壬辰月 丁巳日,丙午年,二月,廿六,丙午,壬辰,丁巳,,,,,,,,,,,,
2026/4/14,丙午年二月 廿七日 壬辰月 戊午日,丙午年,二月,廿七,丙午,壬辰,戊午,,,,,,,,,,,,
2026/4/15,丙午年二月 廿八日 壬辰月 己未日,丙午年,二月,廿八,丙午,壬辰,己未,,,,,,,,,,,,
2026/4/16,丙午年二月 廿九日 壬辰月 庚申日,丙午年,二月,廿九,丙午,壬辰,庚申,,,,,,,,,,,,
2026/4/17,丙午年三月 初一日 壬辰月 辛酉日,丙午年,三月,初一,丙午,壬辰,辛酉,,,,,,,,,,,,
2026/4/18,丙午年三月 初二日 壬辰月 壬戌日,丙午年,三月,初二,丙午,壬辰,壬戌,,,,,,,,,,,,
2026/4/19,丙午年三月 初三日 壬辰月 癸亥日,丙午年,三月,初三,丙午,壬辰,癸亥,,,,,,,,,,,,
2026/4/20,丙午年三月 初四日 壬辰月 甲子日 谷雨,丙午年,三月,初四,丙午,壬辰,甲子,谷雨,,,,,,,,,,,
2026/4/21,丙午年三月 初五日 壬辰月 乙丑日,丙午年,三月,初五,丙午,壬辰,乙丑,,,,,,,,,,,,
2026/4/22,丙午年三月 初六日 壬辰月 丙寅日,丙午年,三月,初六,丙午,壬辰,丙寅,,,,,,,,,,,,
2026/4/23,丙午年三月 初七日 壬辰月 丁卯日,丙午年,三月,初七,丙午,壬辰,丁卯,,,,,,,,,,,,
2026/4/24,丙午年三月 初八日 壬辰月 戊辰日,丙午年,三月,初八,丙午,壬辰,戊辰,,,,,,,,,,,,
2026/4/25,丙午年三月 初九日 壬辰月 己巳日,丙午年,三月,初九,丙午,壬辰,己巳,,,,,,,,,,,,
2026/4/26,丙午年三月 初十日 壬辰月 庚午日,丙午年,三月,初十,丙午,壬辰,庚午,,,,,,,,,,,,
2026/4/27,丙午年三月 十一日 壬辰月 辛未日,丙午年,三月,十一,丙午,壬辰,辛未,,,,,,,,,,,,
2026/4/28,丙午年三月 十二日 壬辰月 壬申日,丙午年,三月,十二,丙午,壬辰,壬申,,,,,,,,,,,,
2026/4/29,丙午年三月 十三日 壬辰月 癸酉日,丙午年,三月,十三,丙午,壬辰,癸酉,,,,,,,,,,,,
2026/4/30,丙午年三月 十四日 壬辰月 甲戌日,丙午年,三月,十四,丙午,壬辰,甲戌,,,,,,,,,,,,
2026/5/1,丙午年三月 十五日 壬辰月 乙亥日,丙午年,三月,十五,丙午,壬辰,乙亥,,,,,,,,,,,,
2026/5/2,丙午年三月 十六日 壬辰月 丙子日,丙午年,三月,十六,丙午,壬辰,丙子,,,,,,,,,,,,
2026/5/3,丙午年三月 十七日 壬辰月 丁丑日,丙午年,三月,十七,丙午,壬辰,丁丑,,,,,,,,,,,,
2026/5/4,丙午年三月 十八日 壬辰月 戊寅日,丙午年,三月,十八,丙午,壬辰,戊寅,,,,,,,,,,,,
2026/5/5,丙午年三月 十九日 癸巳月 己卯日 立夏,丙午年,三月,十九,丙午,癸巳,己卯,立夏,,,,,,,,,,,
2026/5/6,丙午年三月 二十日 癸巳月 庚辰日,丙午年,三月,二十,丙午,癸巳,庚辰,,,,,,,,,,,,
2026/5/7,丙午年三月 廿一日 癸巳月 辛巳日,丙午年,三月,廿一,丙午,癸巳,辛巳,,,,,,,,,,,,
2026/5/8,丙午年三月 廿二日 癸巳月 壬午日,丙午年,三月,廿二,丙午,癸巳,壬午,,,,,,,,,,,,
2026/5/9,丙午年三月 廿三日 癸巳月 癸未日,丙午年,三月,廿三,丙午,癸巳,癸未,,,,,,,,,,,,
2026/5/10,丙午年三月 廿四日 癸巳月 甲申日,丙午年,三月,廿四,丙午,癸巳,甲申,,,,,,,,,,,,
2026/5/11,丙午年三月 廿五日 癸巳月 乙酉日,丙午年,三月,廿五,丙午,癸巳,乙酉,,,,,,,,,,,,
2026/5/12,丙午年三月 廿六日 癸巳月 丙戌日,丙午年,三月,廿六,丙午,癸巳,丙戌,,,,,,,,,,,,
2026/5/13,丙午年三月 廿七日 癸巳月 丁亥日,丙午年,三月,廿七,丙午,癸巳,丁亥,,,,,,,,,,,,
2026/5/14,丙午年三月 廿八日 癸巳月 戊子日,丙午年,三月,廿八,丙午,癸巳,戊子,,,,,,,,,,,,
2026/5/15,丙午年三月 廿九日 癸巳月 己丑日,丙午年,三月,廿九,丙午,癸巳,己丑,,,,,,,,,,,,
2026/5/16,丙午年三月 三十日 癸巳月 庚寅日,丙午年,三月,三十,丙午,癸巳,庚寅,,,,,,,,,,,,
2026/5/17,丙午年四月 初一日 癸巳月 辛卯日,丙午年,四月,初一,丙午,癸巳,辛卯,,,,,,,,,,,,
2026/5/18,丙午年四月 初二日 癸巳月 壬辰日,丙午年,四月,初二,丙午,癸巳,壬辰,,,,,,,,,,,,
2026/5/19,丙午年四月 初三日 癸巳月 癸巳日,丙午年,四月,初三,丙午,癸巳,癸巳,,,,,,,,,,,,
2026/5/20,丙午年四月 初四日 癸巳月 甲午日,丙午年,四月,初四,丙午,癸巳,甲午,,,,,,,,,,,,
2026/5/21,丙午年四月 初五日 癸巳月 乙未日 小满,丙午年,四月,初五,丙午,癸巳,乙未,小满,,,,,,,,,,,
2026/5/22,丙午年四月 初六日 癸巳月 丙申日,丙午年,四月,初六,丙午,癸巳,丙申,,,,,,,,,,,,
2026/5/23,丙午年四月 初七日 癸巳月 丁酉日,丙午年,四月,初七,丙午,癸巳,丁酉,,,,,,,,,,,,
2026/5/24,丙午年四月 初八日 癸巳月 戊戌日,丙午年,四月,初八,丙午,癸巳,戊戌,,,,,,,,,,,,
2026/5/25,丙午年四月 初九日 癸巳月 己亥日,丙午年,四月,初九,丙午,癸巳,己亥,,,,,,,,,,,,
2026/5/26,丙午年四月 初十日 癸巳月 庚子日,丙午年,四月,初十,丙午,癸巳,庚子,,,,,,,,,,,,
2026/5/27,丙午年四月 十一日 癸巳月 辛丑日,丙午年,四月,十一,丙午,癸巳,辛丑,,,,,,,,,,,,
2026/5/28,丙午年四月 十二日 癸巳月 壬寅日,丙午年,四月,十二,丙午,癸巳,壬寅,,,,,,,,,,,,
2026/5/29,丙午年四月 十三日 癸巳月 癸卯日,丙午年,四月,十三,丙午,癸巳,癸卯,,,,,,,,,,,,
2026/5/30,丙午年四月 十四日 癸巳月 甲辰日,丙午年,四月,十四,丙午,癸巳,甲辰,,,,,,,,,,,,
2026/5/31,丙午年四月 十五日 癸巳月 乙巳日,丙午年,四月,十五,丙午,癸巳,乙巳,,,,,,,,,,,,
2026/6/1,丙午年四月 十六日 癸巳月 丙午日,丙午年,四月,十六,丙午,癸巳,丙午,,,,,,,,,,,,
2026/6/2,丙午年四月 十七日 癸巳月 丁未日,丙午年,四月,十七,丙午,癸巳,丁未,,,,,,,,,,,,
2026/6/3,丙午年四月 十八日 癸巳月 戊申日,丙午年,四月,十八,丙午,癸巳,戊申,,,,,,,,,,,,
2026/6/4,丙午年四月 十九日 癸巳月 己酉日,丙午年,四月,十九,丙午,癸巳,己酉,,,,,,,,,,,,
2026/6/5,丙午年四月 二十日 甲午月 庚戌日 芒种,丙午年,四月,二十,丙午,甲午,庚戌,芒种,,,,,,,,,,,
2026/6/6,丙午年四月 廿一日 甲午月 辛亥日,丙午年,四月,廿一,丙午,甲午,辛亥,,,,,,,,,,,,
2026/6/7,丙午年四月 廿二日 甲午月 壬子日,丙午年,四月,廿二,丙午,甲午,壬子,,,,,,,,,,,,
2026/6/8,丙午年四月 廿三日 甲午月 癸丑日,丙午年,四月,廿三,丙午,甲午,癸丑,,,,,,,,,,,,
2026/6/9,丙午年四月 廿四日 甲午月 甲寅日,丙午年,四月,廿四,丙午,甲午,甲寅,,,,,,,,,,,,
2026/6/10,丙午年四月 廿五日 甲午月 乙卯日,丙午年,四月,廿五,丙午,甲午,乙卯,,,,,,,,,,,,
2026/6/11,丙午年四月 廿六日 甲午月 丙辰日,丙午年,四月,廿六,丙午,甲午,丙辰,,,,,,,,,,,,
2026/6/12,丙午年四月 廿七日 甲午月 丁巳日,丙午年,四月,廿七,丙午,甲午,丁巳,,,,,,,,,,,,
2026/6/13,丙午年四月 廿八日 甲午月 戊午日,丙午年,四月,廿八,丙午,甲午,戊午,,,,,,,,,,,,
2026/6/14,丙午年四月 廿九日 甲午月 己未日,丙午年,四月,廿九,丙午,甲午,己未,,,,,,,,,,,,
2026/6/15,丙午年五月 初一日 甲午月 庚申日,丙午年,五月,初一,丙午,甲午,庚申,,,,,,,,,,,,
2026/6/16,丙午年五月 初二日 甲午月 辛酉日,丙午年,五月,初二,丙午,甲午,辛酉,,,,,,,,,,,,
2026/6/17,丙午年五月 初三日 甲午月 壬戌日,丙午年,五月,初三,丙午,甲午,壬戌,,,,,,,,,,,,
2026/6/18,丙午年五月 初四日 甲午月 癸亥日,丙午年,五月,初四,丙午,甲午,癸亥,,,,,,,,,,,,
2026/6/19,丙午年五月 初五日 甲午月 甲子日,丙午年,五月,初五,丙午,甲午,甲子,,,,,,,,,,,,
2026/6/20,丙午年五月 初六日 甲午月 乙丑日,丙午年,五月,初六,丙午,甲午,乙丑,,,,,,,,,,,,
2026/6/21,丙午年五月 初七日 甲午月 丙寅日 夏至,丙午年,五月,初七,丙午,甲午,丙寅,夏至,,,,,,,,,,,
2026/6/22,丙午年五月 初八日 甲午月 丁卯日,丙午年,五月,初八,丙午,甲午,丁卯,,,,,,,,,,,,
2026/6/23,丙午年五月 初九日 甲午月 戊辰日,丙午年,五月,初九,丙午,甲午,戊辰,,,,,,,,,,,,
2026/6/24,丙午年五月 初十日 甲午月 己巳日,丙午年,五月,初十,丙午,甲午,己巳,,,,,,,,,,,,
2026/6/25,丙午年五月 十一日 甲午月 庚午日,丙午年,五月,十一,丙午,甲午,庚午,,,,,,,,,,,,
2026/6/26,丙午年五月 十二日 甲午月 辛未日,丙午年,五月,十二,丙午,甲午,辛未,,,,,,,,,,,,
2026/6/27,丙午年五月 十三日 甲午月 壬申日,丙午年,五月,十三,丙午,甲午,壬申,,,,,,,,,,,,
2026/6/28,丙午年五月 十四日 甲午月 癸酉日,丙午年,五月,十四,丙午,甲午,癸酉,,,,,,,,,,,,
2026/6/29,丙午年五月 十五日 甲午月 甲戌日,丙午年,五月,十五,丙午,甲午,甲戌,,,,,,,,,,,,
2026/6/30,丙午年五月 十六日 甲午月 乙亥日,丙午年,五月,十六,丙午,甲午,乙亥,,,,,,,,,,,,
2026/7/1,丙午年五月 十七日 甲午月 丙子日,丙午年,五月,十七,丙午,甲午,丙子,,,,,,,,,,,,
2026/7/2,丙午年五月 十八日 甲午月 丁丑日,丙午年,五月,十八,丙午,甲午,丁丑,,,,,,,,,,,,
2026/7/3,丙午年五月 十九日 甲午月 戊寅日,丙午年,五月,十九,丙午,甲午,戊寅,,,,,,,,,,,,
2026/7/4,丙午年五月 二十日 甲午月 己卯日,丙午年,五月,二十,丙午,甲午,己卯,,,,,,,,,,,,
2026/7/5,丙午年五月 廿一日 甲午月 庚辰日,丙午年,五月,廿一,丙午,甲午,庚辰,,,,,,,,,,,,
2026/7/6,丙午年五月 廿二日 甲午月 辛巳日,丙午年,五月,廿二,丙午,甲午,辛巳,,,,,,,,,,,,
2026/7/7,丙午年五月 廿三日 乙未月 壬午日 小暑,丙午年,五月,廿三,丙午,乙未,壬午,小暑,,,,,,,,,,,
2026/7/8,丙午年五月 廿四日 乙未月 癸未日,丙午年,五月,廿四,丙午,乙未,癸未,,,,,,,,,,,,
2026/7/9,丙午年五月 廿五日 乙未月 甲申日,丙午年,五月,廿五,丙午,乙未,甲申,,,,,,,,,,,,
2026/7/10,丙午年五月 廿六日 乙未月 乙酉日,丙午年,五月,廿六,丙午,乙未,乙酉,,,,,,,,,,,,
2026/7/11,丙午年五月 廿七日 乙未月 丙戌日,丙午年,五月,廿七,丙午,乙未,丙戌,,,,,,,,,,,,
2026/7/12,丙午年五月 廿八日 乙未月 丁亥日,丙午年,五月,廿八,丙午,乙未,丁亥,,,,,,,,,,,,
2026/7/13,丙午年五月 廿九日 乙未月 戊子日,丙午年,五月,廿九,丙午,乙未,戊子,,,,,,,,,,,,
2026/7/14,丙午年六月 初一日 乙未月 己丑日,丙午年,六月,初一,丙午,乙未,己丑,,,,,,,,,,,,
2026/7/15,丙午年六月 初二日 乙未月 庚寅日,丙午年,六月,初二,丙午,乙未,庚寅,,,,,,,,,,,,
2026/7/16,丙午年六月 初三日 乙未月 辛卯日,丙午年,六月,初三,丙午,乙未,辛卯,,,,,,,,,,,,
2026/7/17,丙午年六月 初四日 乙未月 壬辰日,丙午年,六月,初四,丙午,乙未,壬辰,,,,,,,,,,,,
2026/7/18,丙午年六月 初五日 乙未月 癸巳日,丙午年,六月,初五,丙午,乙未,癸巳,,,,,,,,,,,,
2026/7/19,丙午年六月 初六日 乙未月 甲午日,丙午年,六月,初六,丙午,乙未,甲午,,,,,,,,,,,,
2026/7/20,丙午年六月 初七日 乙未月 乙未日,丙午年,六月,初七,丙午,乙未,乙未,,,,,,,,,,,,
2026/7/21,丙午年六月 初八日 乙未月 丙申日,丙午年,六月,初八,丙午,乙未,丙申,,,,,,,,,,,,
2026/7/22,丙午年六月 初九日 乙未月 丁酉日 大暑,丙午年,六月,初九,丙午,乙未,丁酉,大暑,,,,,,,,,,,
2026/7/23,丙午年六月 初十日 乙未月 戊戌日,丙午年,六月,初十,丙午,乙未,戊戌,,,,,,,,,,,,
2026/7/24,丙午年六月 十一日 乙未月 己亥日,丙午年,六月,十一,丙午,乙未,己亥,,,,,,,,,,,,
2026/7/25,丙午年六月 十二日 乙未月 庚子日,丙午年,六月,十二,丙午,乙未,庚子,,,,,,,,,,,,
