name,address
上海东港汽车检测有限公司,浦东新区惠南镇宣黄公路2303号6幢
上海新河机动车检测维修有限公司,崇明区新河镇新申路807号
上海奉欣机动车检测有限公司,奉贤区奉城镇南奉公路952号
上海锦前机动车检测有限公司,松江区洞泾镇沪松公路3778号6幢
上海茸锦机动车检测中心,松江区茸平路28号1幢106室
上海淇匀机动车检测有限公司,闵行区吴中路2099号淇匀检测
上海云璟实业有限公司,闵行区春中路588号2幢
上海勇亮机动车检测有限公司,静安区永和路159号1幢1层
上海鑫浩汽车检测有限公司,上海市松江区九干路50号
上海玮赢机动车检测有限公司,崇明区城桥镇西门路689号
上海市长宁区机动车检测维修中心,上海市长宁区北翟路1428号
上海公孚机动车检测股份有限公司,上海市宝山区月浦工业园区园和路303号
上海金旋机动车检测服务中心,上海市金山区山阳镇亭卫公路2288号5幢
上海亚浦汽车科技有限公司,上海市浦东新区康梧路168弄3号A区
上海永瑞机动车检测有限公司,青浦区重固镇崧盈路1100号6幢
上海南帅实业有限公司,浦东新区惠南镇汇成路85号
上海煜和机动车检测有限公司,浦东新区泥城镇飞舟路1509号E厂房
上海瀛伟机动车安全检测有限公司,崇明区城桥镇三沙洪路18号
上海悦安汽车检测维修服务有限公司,崮山路930号
上海浙实浦韵汽车检测有限公司,浦东新区合庆镇龙东大道5893号1幢
上海九安机动车检测有限公司,松江区九亭镇伴亭路299号2幢101室
上海图帮汽车检测有限公司,宝山区淞南镇江杨南路1685E栋
上海利港汽车检测有限公司,闵行区程家桥路168弄39号
上海嘉邦机动车检测有限公司,闵行区莘松路850弄30号112室
上海嗨客检测技术有限公司,青浦区外青松公路5098号
上海浩龙汽车综合检测有限公司,嘉定区江桥路22号
上海振祥汽车检测有限公司,宝山区长江西路1000号
上海联祝实业有限公司,浦东新区宣桥镇宣夏路536号
上海宝祭机动车检测服务有限公司,上海市松江区车亭公路338号
上海鸿声检测技术有限公司,上海市闵行区龙吴路5287号
上海勇多机动车检测有限公司,青浦区白鹤镇外青松公路3201号1幢
上海荣瑞汽车服务有限公司,宝山区月罗路1688号4幢
上海安途机动车检测有限公司,自由贸易试验区康桥东路688号7幢F区
上海浦东川强汽车检测有限公司,上海浦东新区华夏东路2005号
上海振畅机动车安全检测中心,浦东新区泥城镇宏涛路10号
上海金祝汽车检测有限公司,浦东新区祝桥镇金星村480号4幢
上海盈港机动车检测有限公司,嘉定区南翔镇浏翔公路777号7幢，10幢，11幢
上海满鑫机动车检测有限公司,上海奉贤区南桥镇杨海路68-1号
上海亮兵机动车检测服务有限公司,嘉定区徐行镇武乡路78号3幢4幢
上海久月机动车检测有限公司,松江区九亭镇九新公路28号2幢一层101室
上海殷腾实业有限公司,杨浦区源泉路105号
上海临港机动车安全检测有限公司,浦东新区宏祥北路408号西楼
上海浦虹机动车检测有限公司,浦东国际机场护航路789号、闵行区虹翔一路8号
上海沪仑汽车检测中心（有限合伙）,闵行区浦江镇三鲁公路889号5幢一楼
上海隆联汽车服务有限公司,浦东新区申江南路3109号
上海安园机动车检测有限公司,嘉定区安亭镇安驰路835号
上海新站汽车检测有限公司,上海市浦东新区莲溪路1277号
上海白玉兰机动车安全检测服务有限公司,嘉定区定边路119号1幢3层
上海崇城机动车检测有限公司,崇明区长兴镇长凯路188号1幢1层01号
上海紫跃翔机动车检测有限公司,闵行区北松公路1033号
上海星海汽车检测维修有限公司,上海市兰溪路1888号
上海翔茂检测技术有限公司,上海市金山区亭林镇亭枫公路767-773号6幢
上海康花机动车检测有限公司,上海市浦东新区康花路316号2幢
上海贞新检测技术有限公司,普陀区真陈路506号
上海交运立通机动车检测维修有限公司,嘉定区江桥路58弄28号1幢
上海上安机械施工有限公司,静安区万荣路1298号
上海中石康运机动车检测有限公司,上海市金山新凤山路55号
上海旗忠汽车修理厂,上海市闵行区曙光路151号
上海恺璇汽车科技有限公司,自由贸易试验区金沪路1099号4幢101室
上海昶达机动车检测有限公司,奉贤区南桥环城东路5885弄2号1幢
上海金达汇机动车检测有限公司,浦东新区新场镇坦仁路68号1幢1层
上海云运来机动车检测有限公司,徐汇区吴中路100号7幢一层B区
